"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.190731700E-2,-3.888399839E0,1.521600008E0,-1.057500005E0
3.175575500E-2,-1.855699897E0,1.811800003E0,2.089999989E-2
5.160731700E-2,-3.728999794E-1,2.027699947E0,3.387499809E0
7.146044200E-2,7.488999963E-1,1.489099979E0,4.671899796E0
9.131200500E-2,2.114300013E0,1.037999988E-1,3.426100016E0
1.111651300E-1,1.466599941E0,-8.176999688E-1,9.348999858E-1
1.310182550E-1,1.049899936E0,-7.999999449E-3,9.891999960E-1
1.508698170E-1,2.107999921E-1,6.969000101E-1,4.749999940E-1
1.707229420E-1,-1.144299984E0,3.076999784E-1,-8.417999744E-1
1.905760670E-1,-1.422799945E0,-9.717999697E-1,-1.255999923E0
2.104276300E-1,-1.003299952E0,-1.196200013E0,-1.928900003E0
2.302870050E-1,-1.628799915E0,-3.969999850E-1,-2.918999791E-1
2.501338800E-1,-2.282299995E0,-9.169999957E-1,-3.793999851E-1
2.699870050E-1,-9.511999488E-1,-5.314999819E-1,-1.231799960E0
2.898385670E-1,9.147999883E-1,-2.261800051E0,-1.671299934E0
3.096932550E-1,9.004999995E-1,-1.665899992E0,-1.070799947E0
3.295448170E-1,4.289999977E-2,-8.366999626E-1,3.127999902E-1
3.493963800E-1,-3.673999906E-1,-7.871999741E-1,3.811999857E-1
3.692495050E-1,-7.225999832E-1,-6.172999740E-1,-5.080000162E-1
3.891026300E-1,-5.074999928E-1,-3.353999853E-1,-2.318300009E0
4.089557550E-1,3.484999835E-1,-4.922999740E-1,-2.833499908E0
4.288073170E-1,5.845000148E-1,-7.699999809E-1,-3.104099989E0
4.486604420E-1,-3.172999918E-1,-9.452999830E-1,-2.432199955E0
4.685135670E-1,-1.995999962E-1,-9.985999465E-1,-6.883999705E-1
4.883651300E-1,-1.787000000E-1,-9.032999873E-1,1.243099928E0
5.082182550E-1,-2.221999913E-1,-6.746000051E-1,6.263999939E-1
5.280713800E-1,1.122200012E0,-1.034399986E0,-6.742999554E-1
5.479245050E-1,1.365700006E0,-8.989999890E-1,-1.828499913E0
5.677760670E-1,-2.199999988E-1,-1.470499992E0,3.515000045E-1
