"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
9.735044000E-3,3.176499158E-2,1.691224054E-2,1.762259007E-1
2.958348200E-2,3.176499158E-2,1.691224054E-2,1.762259007E-1
4.944129400E-2,0.000000000E0,0.000000000E0,0.000000000E0
6.928816900E-2,1.670454592E-1,1.001120880E-1,8.962265402E-2
8.914129400E-2,1.395041645E-1,2.958333120E-2,-5.448918045E-2
1.089944190E-1,1.477944851E-1,9.070476145E-2,-1.631708294E-1
1.288459820E-1,1.754579544E-1,2.390403003E-1,-2.083923072E-1
1.486991070E-1,1.575683206E-1,2.556034625E-1,-2.401922047E-1
1.685522320E-1,1.282467991E-1,2.468419224E-1,-2.701595128E-1
1.884037940E-1,1.022064835E-1,2.341533750E-1,-3.109304011E-1
2.082569190E-1,5.290092900E-2,2.271720618E-1,-3.328168392E-1
2.281100440E-1,-1.795943826E-2,2.473480552E-1,-3.303559124E-1
2.479616070E-1,-7.440338284E-2,2.816088796E-1,-3.227462769E-1
2.678209820E-1,-9.236282110E-2,2.912256420E-1,-3.418052793E-1
2.876678570E-1,-9.478883445E-2,2.744006515E-1,-3.795742095E-1
3.075209820E-1,-9.131562710E-2,2.503151298E-1,-4.031012356E-1
3.273725440E-1,-8.977973461E-2,2.291268259E-1,-4.255985320E-1
3.472256690E-1,-8.969247341E-2,2.248856723E-1,-4.349185824E-1
3.670787940E-1,-9.032078832E-2,2.256710678E-1,-4.323529601E-1
3.869303570E-1,-8.543386310E-2,2.163510174E-1,-4.346393347E-1
4.067834820E-1,-7.311183959E-2,1.872040182E-1,-4.418126345E-1
4.266366070E-1,-6.140068173E-2,1.339016557E-1,-4.487241507E-1
4.464881690E-1,-5.750859901E-2,6.309365481E-2,-4.540124834E-1
4.663412940E-1,-5.394812673E-2,-9.599310579E-4,-4.614301324E-1
4.861944190E-1,-3.656464815E-2,-4.665265232E-2,-4.610636234E-1
5.060475440E-1,-2.087413706E-2,-7.695156336E-2,-4.384441674E-1
5.258991070E-1,-1.574287005E-2,-2.227214724E-1,-4.320213497E-1
5.457522320E-1,-2.918190509E-2,-5.494645238E-1,-4.647462666E-1
5.656053570E-1,-5.565854907E-2,-7.143632770E-1,-4.250923991E-1
5.854569190E-1,-6.614797562E-2,-6.937683821E-1,-3.493450880E-1
6.053147320E-1,-6.895796210E-2,-6.756169796E-1,-2.981894910E-1
6.251631690E-1,-1.563465893E-1,-5.150117278E-1,-1.343205422E-1
6.450147320E-1,-2.353401929E-1,-3.739717007E-1,1.343903481E-3
6.648678570E-1,-2.551322281E-1,-3.072302938E-1,4.806636646E-2
6.847209820E-1,-2.741912305E-1,-2.640334070E-1,6.422811747E-2
7.045741070E-1,-3.453657627E-1,-2.257932425E-1,1.212131158E-1
7.244256690E-1,-4.173605740E-1,-1.968731433E-1,1.965938807E-1
7.442787940E-1,-4.532620013E-1,-1.976759881E-1,2.365793735E-1
7.641319190E-1,-4.743455946E-1,-1.892984062E-1,2.795842886E-1
7.839834820E-1,-4.706629515E-1,-1.604306698E-1,3.350334167E-1
8.038366070E-1,-4.517261088E-1,-1.116487086E-1,4.091575444E-1
8.236881690E-1,-4.161213934E-1,-6.042329967E-2,5.016250610E-1
8.435412940E-1,-3.589095175E-1,-2.686061710E-2,5.813342929E-1
8.633928570E-1,-2.870717645E-1,-3.176499158E-2,6.402041912E-1
8.832459820E-1,-2.298947722E-1,-1.191187203E-1,6.542192101E-1
9.030991070E-1,-2.035228461E-1,-2.159321308E-1,7.005402446E-1
9.229522320E-1,-2.085144818E-1,-2.867575884E-1,8.255756497E-1
9.428053570E-1,-1.964018941E-1,-2.422516942E-1,1.077095032E0
9.626569190E-1,-8.421213925E-2,-1.411622316E-1,1.346765876E0
9.825100440E-1,6.909758598E-2,-7.628834248E-2,1.591618061E0
1.002361607E0,1.381428093E-1,-1.645496339E-1,1.726619363E0
1.022214732E0,1.443387270E-1,-4.143586159E-1,1.713424683E0
1.042067857E0,3.465351164E-1,-4.072027802E-1,2.015087366E0
1.061920982E0,6.670648456E-1,-2.393369973E-1,2.472101688E0
1.081772544E0,1.010545611E0,-6.824237108E-2,2.915624857E0
1.101625669E0,1.396839380E0,1.139001846E-1,3.415242910E0
1.121478794E0,1.858112454E0,3.181386292E-1,4.009003639E0
1.141330357E0,2.265681744E0,4.983438551E-1,4.526738167E0
1.161183482E0,2.462572336E0,5.607044697E-1,4.770630836E0
1.181036607E0,2.400682926E0,4.807683825E-1,4.722651482E0
1.200888169E0,2.413127184E0,4.267853498E-1,4.671461105E0
1.220741294E0,2.512226820E0,3.482106328E-1,4.634739399E0
1.240594419E0,2.640840292E0,3.101450019E-2,4.467588902E0
1.260452232E0,2.926463366E0,-1.239532828E-1,4.382068157E0
1.280299107E0,3.163252115E0,-2.401049435E-1,4.268534184E0
1.300152232E0,3.361853123E0,-3.283662498E-1,4.145104408E0
1.320005357E0,3.461738348E0,-4.185997546E-1,3.975266695E0
1.339856919E0,3.464408636E0,-5.526584983E-1,3.791361332E0
1.359710044E0,3.400041103E0,-6.493148208E-1,3.613494873E0
1.379563169E0,3.324537992E0,-8.033925295E-1,3.461912870E0
1.399416294E0,3.216292620E0,-9.903870821E-1,3.339216232E0
1.419267857E0,3.091693640E0,-1.071579814E0,3.208927393E0
1.439120982E0,2.909149647E0,-1.111687422E0,3.065880299E0
1.458974107E0,2.700914383E0,-1.117604136E0,2.919377327E0
1.478825669E0,2.508439541E0,-1.056116223E0,2.746432543E0
1.498678794E0,2.299820423E0,-9.795311093E-1,2.572039366E0
1.518531919E0,2.090258598E0,-9.141860008E-1,2.418799400E0
1.538383482E0,1.943371773E0,-8.761552572E-1,2.281407118E0
1.558236607E0,1.996377349E0,-1.054510474E0,2.201540947E0
1.578094419E0,2.115024805E0,-1.216023207E0,2.102301359E0
1.597941294E0,2.144259214E0,-1.241155982E0,1.959900022E0
1.617794419E0,2.020393133E0,-1.134551287E0,1.800813317E0
1.637647544E0,1.879335642E0,-1.036271811E0,1.657853365E0
1.657500669E0,1.777757406E0,-9.769480228E-1,1.530479193E0
1.677352232E0,1.915411592E0,-1.190768361E0,1.491418719E0
1.697205357E0,2.003498316E0,-1.327148318E0,1.418952703E0
1.717058482E0,1.860713005E0,-1.225831985E0,1.297617435E0
1.736910044E0,1.741995692E0,-1.143871307E0,1.211520314E0
1.756769419E0,1.657905698E0,-1.089661360E0,1.158462286E0
1.776616294E0,1.578440905E0,-1.075035572E0,1.167991757E0
1.796469419E0,1.592229009E0,-1.112595081E0,1.167380929E0
1.816320982E0,1.698030829E0,-1.196196318E0,1.128320456E0
1.836174107E0,1.893280864E0,-1.338667512E0,1.091755748E0
1.856031919E0,1.874535918E0,-1.331633806E0,1.046848536E0
1.875878794E0,1.790812492E0,-1.295749903E0,1.032344818E0
1.895731919E0,1.796519756E0,-1.346224785E0,1.113450289E0
1.915583482E0,2.165604591E0,-1.583641887E0,1.145110488E0
1.935436607E0,2.262574911E0,-1.606296301E0,1.077810645E0
1.955289732E0,2.322195530E0,-1.599070668E0,9.972113371E-1
1.975142857E0,2.290831804E0,-1.534825087E0,8.909731507E-1
1.994994419E0,2.290779591E0,-1.486252546E0,7.704232335E-1
2.014847544E0,1.925447226E0,-1.240143657E0,6.466444731E-1
2.034699107E0,5.389576778E-2,-1.500459611E-1,2.963918149E-1
2.054552232E0,-4.126482010E-1,1.134987622E-1,1.281071603E-1
2.074405357E0,-6.557201743E-1,2.076243609E-1,6.508332491E-2
2.094258482E0,-6.704158783E-1,1.805717647E-1,-4.757767543E-2
2.114110044E0,-3.490134776E-1,-1.684242673E-2,-2.122844011E-1
2.133963169E0,-3.991568089E-2,-1.997703910E-1,-3.004584312E-1
2.153814732E0,-6.496115774E-2,-1.845860183E-1,-3.213849366E-1
2.173667857E0,-6.983062625E-2,-1.780584902E-1,-2.984687686E-1
2.193520982E0,1.918116808E-1,-3.227637410E-1,-2.046573013E-1
2.213374107E0,3.887022734E-1,-4.297873378E-1,-1.064301804E-1
2.233225669E0,6.671695709E-1,-5.635668039E-1,-5.176646635E-2
2.253078794E0,2.587258577E0,-1.488085151E0,-7.730063051E-2
2.272931919E0,4.419487953E0,-2.371937275E0,-2.166477144E-1
2.292783482E0,5.047649384E0,-2.621798754E0,-1.817760468E-1
2.312636607E0,4.833794117E0,-2.457423687E0,-7.651523501E-2
2.332489732E0,4.029790878E0,-2.107153416E0,5.145230517E-2
2.352341294E0,4.604161263E0,-2.587642670E0,4.635594413E-2
2.372194419E0,4.337247849E0,-2.795825481E0,9.203121066E-2
2.392049107E0,3.429659128E0,-2.464195490E0,2.837556303E-1
2.411900669E0,3.759124994E0,-2.757009268E0,4.277278483E-1
