"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.080166800E-2,3.788237274E-1,-5.828177929E-1,-8.150513172E-1
4.065479300E-2,3.788237274E-1,-5.828177929E-1,-8.150513172E-1
6.050635600E-2,0.000000000E0,0.000000000E0,0.000000000E0
8.035948100E-2,-9.627236426E-2,-3.989648223E-1,-2.701071501E-1
1.002188560E-1,-3.433062732E-1,-4.180063680E-2,-3.180862665E-1
1.200657310E-1,-6.281614304E-1,6.898937225E-1,-1.577254087E-1
1.399172930E-1,-7.816107869E-1,1.236303926E0,5.253440887E-2
1.597704180E-1,-7.950323820E-1,1.450228930E0,2.170840502E-1
1.796235430E-1,-7.081149817E-1,1.307234168E0,2.106263340E-1
1.994751060E-1,-6.219829917E-1,1.139804721E0,2.067342550E-1
2.193282310E-1,-4.809778333E-1,8.571486473E-1,1.849350929E-1
2.391813560E-1,-4.125085771E-1,7.499505281E-1,1.811302751E-1
2.590329180E-1,-3.677583337E-1,6.953042746E-1,1.915847957E-1
2.788860430E-1,-3.274586797E-1,6.451260448E-1,2.064026296E-1
2.987391680E-1,-2.995683253E-1,6.103242040E-1,2.040464431E-1
3.185922930E-1,-2.850122750E-1,6.004281640E-1,1.923352778E-1
3.384438560E-1,-3.586651683E-1,8.105134368E-1,2.940530777E-1
3.582969810E-1,-3.849149048E-1,8.945685029E-1,3.670601845E-1
3.781501060E-1,-3.773576319E-1,8.814610839E-1,3.988600969E-1
3.980016680E-1,-3.728197813E-1,8.722981215E-1,4.771381021E-1
4.178610430E-1,-4.071853161E-1,9.190379977E-1,7.874227166E-1
4.377079180E-1,-4.168020785E-1,8.549844623E-1,9.479406476E-1
4.575594810E-1,-3.885801136E-1,7.172430754E-1,8.690866828E-1
4.774126060E-1,-3.734132051E-1,6.227160096E-1,8.096058965E-1
4.972657310E-1,-3.305130005E-1,4.573809803E-1,7.768635154E-1
5.171172930E-1,-3.007027805E-1,3.051359057E-1,8.336041570E-1
5.369704180E-1,-2.981371284E-1,2.386039644E-1,8.648106456E-1
5.568235430E-1,-3.043505251E-1,2.209412307E-1,8.424530029E-1
5.766766680E-1,-3.358362615E-1,2.550973296E-1,8.680918813E-1
5.965344810E-1,-3.806737661E-1,3.228684664E-1,9.065240026E-1
6.163813560E-1,-4.347615242E-1,4.245862365E-1,9.632995725E-1
6.362344810E-1,-4.777664244E-1,5.049062967E-1,1.021192193E0
6.560860430E-1,-4.964589179E-1,5.212949514E-1,1.046255112E0
6.759391680E-1,-4.927762449E-1,4.963367283E-1,1.014210820E0
6.957969810E-1,-5.220628977E-1,4.085641205E-1,1.160469413E0
7.156438560E-1,-6.011263132E-1,2.865481675E-1,1.475571156E0
7.354969810E-1,-6.608340144E-1,2.215520889E-1,1.654607058E0
7.553501060E-1,-7.123386860E-1,6.037093699E-2,1.773952603E0
7.752032310E-1,-7.294254303E-1,-1.909215599E-1,1.793168664E0
7.950547930E-1,-7.115009427E-1,-4.494746327E-1,1.744718432E0
8.149079180E-1,-6.892828941E-1,-6.277600527E-1,1.706513166E0
8.347657310E-1,-6.841515899E-1,-6.766292453E-1,1.713058114E0
