"Time (s),""Linear Acceleration x (m/s^2)"",""Linear Acceleration y (m/s^2)"",""Linear Acceleration z (m/s^2)"""
1.934941778E0,-4.910221100E-1,-1.901413441E0,2.111056328E0
1.954711622E0,7.377772331E0,-1.878145695E0,1.131406069E0
1.974483132E0,-3.958171844E0,-5.188374519E0,5.099846840E0
1.994253028E0,-3.825147152E0,-5.434904575E0,-5.104489326E0
2.014024487E0,2.400135994E-1,-5.175598145E0,-8.640007019E0
2.033794382E0,-5.210638046E-1,-5.607131004E0,-1.126731873E1
2.053565841E0,-1.357558727E0,-4.275698185E0,-8.285099983E0
2.073335737E0,5.057058334E-1,-5.751709938E0,-1.632323265E-1
2.093107247E0,-8.842368126E-1,-3.746915340E0,2.413734913E0
2.112877091E0,-3.083401203E0,-4.837840557E0,-2.495788813E0
2.132648601E0,-4.836761475E0,-5.858847618E0,-2.429072857E-1
2.152418497E0,-5.184738636E0,-4.535158157E0,-3.251398802E0
2.172189955E0,-3.074644089E0,-2.332217216E0,-1.267372847E0
2.191959851E0,2.086735487E0,5.946039200E0,4.275546074E0
2.211731309E0,5.250798225E0,7.975414276E0,-3.065209866E0
2.231501205E0,2.687374830E0,4.578783035E0,-1.556123018E0
2.251272664E0,-2.374946594E0,4.712782860E0,2.821511030E0
2.271042559E0,-1.066439390E0,6.851490974E0,-1.940422058E0
2.290814070E0,1.969150662E0,6.245166302E0,-4.110325813E0
2.310583914E0,9.289360046E-2,1.993521690E0,9.042686224E-1
2.330355424E0,-2.026600122E0,5.177049637E-1,-3.481523395E-1
2.350125268E0,-2.266805172E-1,9.758272171E-1,1.616002679E0
2.369896778E0,2.146508694E0,6.678948402E0,-5.337983370E-2
2.389666674E0,9.290533066E-1,1.257820702E1,-2.647099972E0
2.409438132E0,2.719035149E-1,1.111498928E1,-4.421318531E0
2.429208028E0,2.496068954E0,-1.150956154E0,-1.658210754E0
2.448979487E0,5.914752960E0,-6.728081703E0,5.761322498E0
2.468749382E0,4.707832336E-1,-4.662213326E0,1.449542761E0
2.488520841E0,4.324061394E0,-3.064835548E0,1.618349552E-1
2.508290737E0,-8.864083886E-1,-4.797599792E0,5.494920611E-1
2.528062195E0,-5.906354427E0,-6.256978035E0,-3.553292751E-1
2.547832091E0,-4.831893921E0,-1.058260536E1,2.943459988E0
2.567603549E0,-4.623980522E0,-1.743982697E1,6.633367062E0
2.587373445E0,-8.409638405E0,-1.455638790E1,3.769593239E0
2.607144903E0,-3.766263723E0,-6.914107323E0,3.618856192E0
2.626914747E0,-2.182562590E0,-5.369611740E0,-1.248654604E0
2.646686257E0,-3.976827145E0,-1.665792465E-1,-6.017803669E0
2.666456101E0,6.584631205E-1,-1.621242523E0,-9.855305672E0
2.686227612E0,3.797358274E0,-8.657178879E0,-1.520623803E0
2.705997455E0,1.628889918E0,-1.008539677E1,1.115206480E0
2.725768966E0,-2.615896165E-1,-6.796714783E0,-1.645758152E0
2.745538809E0,9.018158317E-1,-2.141662598E0,-2.903715372E0
2.765310320E0,8.450946808E-1,9.577970505E-1,-3.994095802E0
2.785080164E0,-6.356131434E-1,2.328824043E0,-5.081331253E0
2.804851622E0,-1.023452401E0,2.139072418E0,-5.741837502E0
2.824621518E0,-2.396731377E-1,2.744216919E0,-6.667677402E0
2.844392976E0,7.455165386E-1,4.264968395E0,-7.311554432E0
2.864162872E0,1.751129270E0,6.746024132E0,-7.931555748E0
2.883934330E0,1.872813702E0,8.612891197E0,-7.972317696E0
2.903704174E0,5.381625891E-1,8.533611298E0,-7.104785919E0
2.923475684E0,-7.529809475E-1,6.704833984E0,-5.869757175E0
2.943245528E0,-1.606863856E0,4.863188744E0,-3.439856052E0
2.963017039E0,-1.171164870E0,3.938783646E0,-7.038488388E-1
2.982786882E0,5.876457691E-2,3.344594955E0,2.689049721E0
3.002558341E0,5.085992813E-1,2.080603600E0,6.836653233E0
3.022328237E0,6.131541729E-1,-7.389335632E-1,8.534610748E0
3.042099695E0,1.547954679E-1,-3.814905167E0,6.172212124E0
3.061869591E0,-1.131156445E0,-4.031352997E0,3.458878040E0
3.081641049E0,1.183001399E-1,7.507061958E-1,3.150879383E0
3.101410893E0,4.280657768E0,3.020899296E0,-2.701018572E0
3.121182403E0,1.001111126E1,-1.134263325E1,-4.804860115E0
3.140952247E0,2.885012150E0,-2.712039185E1,-3.246227741E0
3.160723705E0,-3.187233210E-1,-2.137784958E0,-2.110414314E1
3.180493601E0,6.892341137E0,1.058510303E1,3.550067425E0
3.200265059E0,-5.815941334E0,5.687198639E0,-1.458710957E1
3.220034955E0,-5.901003361E0,-4.054352760E0,-9.370662689E0
3.239806414E0,-2.368374586E0,-1.187238789E1,1.344259262E0
3.259576309E0,-5.598770142E0,-9.376964569E0,-1.941936255E0
3.279347768E0,-2.982421398E0,-1.446620941E0,-1.505257845E0
3.299117612E0,7.307471037E-1,4.403324127E0,-1.934687853E0
3.318889122E0,2.677041054E0,5.016744137E0,-4.971457720E-1
3.338658966E0,-4.927743077E-1,3.933356285E0,5.192185640E-1
3.358430476E0,-2.248474836E0,1.829812050E0,-4.771751165E-2
3.378200320E0,-2.034450054E0,6.947765350E-1,1.527664065E-2
3.397971830E0,2.260470390E-2,4.806604385E-1,8.119109869E-1
3.417741674E0,1.187931299E0,3.840560913E-1,1.923848152E0
3.437513132E0,1.051762462E0,6.677055359E-1,3.073129416E0
3.457283028E0,5.565748811E-1,1.316739082E0,3.400390148E0
3.477054487E0,-5.114659667E-1,1.633188248E0,2.342973232E0
3.496824382E0,-1.631345034E0,2.065772057E0,1.071669698E0
3.516595841E0,-6.689716578E-1,7.520713806E-1,2.404579163E0
3.536365737E0,3.776468039E-1,-1.046886444E0,5.055048943E0
3.556137195E0,6.270008683E-1,-1.683690071E0,5.942613602E0
3.575907091E0,-4.826884568E-1,-1.706045151E0,5.322378635E0
3.595678549E0,-2.131241083E0,-2.097943306E0,3.954771757E0
3.615448445E0,-1.440396786E0,-2.181585312E0,5.196215630E0
3.635219955E0,5.343748927E-1,-4.301719666E-1,5.833511353E0
3.654989799E0,-1.419538110E-1,-1.356496811E-1,5.063292503E0
3.674761309E0,-4.186542511E0,-2.947619438E0,1.852242231E0
3.694531153E0,-5.460938454E0,-6.557409286E0,2.296138406E-1
3.714302664E0,-1.739092112E0,-6.498001099E0,-3.545009136E0
3.734072559E0,5.126410961E0,-6.575029373E0,-6.370739937E0
3.753844018E0,8.770966530E0,-8.828217506E0,-3.759312630E0
3.773613914E0,6.049052238E0,-1.465492630E1,-3.433448553E0
3.793385372E0,2.648251772E0,-1.549178505E1,-2.410043240E0
3.813155268E0,-3.209708691E0,-8.207492828E0,-2.305619240E0
3.832926778E0,-2.510584354E0,-5.380363464E0,-4.268461704E0
3.852696674E0,-5.216118097E-1,-4.463505745E0,-5.564379215E0
3.872468132E0,1.103494644E0,-2.801511765E0,-5.717747211E0
3.892238028E0,2.375693083E0,7.455139160E-1,-6.966392517E0
3.912009539E0,1.992484093E0,5.756176949E0,-8.946562767E0
3.931779382E0,-2.112283707E-1,9.831663132E0,-8.999308586E0
3.951550893E0,-2.139645576E0,1.090207195E1,-8.834531784E0
3.971320789E0,-2.345719814E0,9.246790886E0,-7.532318592E0
3.991092299E0,-2.369525671E0,7.539559841E0,-5.167961597E0
4.010862143E0,-2.789701700E0,7.087975979E0,-2.221865177E0
4.030633653E0,-1.198033333E0,6.630322933E0,2.572664261E0
4.050403549E0,5.457844734E-1,5.018810272E0,7.306144714E0
4.070175059E0,3.122313976E0,2.962905884E0,5.399416447E0
4.089944955E0,4.221192360E0,2.485806465E0,9.771423340E-1
4.109716414E0,9.192780495E0,2.010240078E0,2.745313644E-1
4.129486309E0,1.253470612E1,2.280672073E0,-5.261836052E0
4.149257820E0,1.609822845E1,-3.519455433E0,-7.577431679E0
4.169027716E0,-3.235902309E0,-1.734966850E1,1.390251350E1
4.188799226E0,-3.420127869E1,-1.078485107E1,-1.678059006E1
4.208569122E0,1.905314922E-1,-7.936568737E0,-1.181984806E1
4.228340632E0,1.421947241E0,-5.806891441E0,-4.151228428E0
4.248110528E0,-1.858133316E0,-8.293016434E0,-6.916762352E0
4.267882039E0,2.269000769E0,-1.115990448E1,-3.861735344E0
4.287651934E0,5.736691952E-1,-8.051354408E0,-2.343503952E0
4.307423445E0,-2.494498968E0,-2.633419037E0,-6.579623222E-1
4.327193341E0,-4.284090042E0,1.685637474E0,1.573882818E0
4.346964851E0,-5.673154831E0,4.184276581E0,2.473704100E0
4.366734747E0,-3.356663704E0,3.944201946E0,3.098904610E0
4.386506257E0,-2.924934387E0,1.842656136E0,3.010847807E0
4.406276153E0,-4.753933907E0,1.026442528E0,2.538675785E0
4.426047664E0,-3.526473045E0,3.381099224E0,4.683546543E0
4.445817559E0,2.508163452E-3,4.489636421E0,1.210260987E0
4.465589070E0,2.317221642E0,2.980683327E0,1.464069366E0
4.485358966E0,-1.097029328E0,1.955749512E0,1.714851856E0
4.505130476E0,-4.757933140E0,2.754057884E0,2.437554836E0
4.524900424E0,-4.461222649E0,1.870949745E0,3.307503939E0
4.544671934E0,-8.504078388E-1,-1.957435608E0,5.187924385E0
4.564441830E0,1.908945918E0,-4.125162125E0,4.517582893E0
4.584213341E0,1.301658869E0,-4.336386681E0,7.855853081E0
4.603983237E0,-2.589186430E0,-3.609903336E0,8.457491875E0
4.623754799E0,-5.241265774E0,-2.445559502E0,6.180547237E0
4.643524695E0,-9.314085007E0,-3.585564613E0,3.179674625E0
4.663296205E0,-1.136882877E1,-7.852045059E0,-1.893517852E0
4.683066101E0,-6.531899452E0,-6.853094101E0,-5.685631275E0
4.702837664E0,5.404758453E0,-4.357239723E0,-4.214711666E0
4.722607559E0,7.504361153E0,-7.463686943E0,2.636301517E-2
4.742379070E0,8.811438084E-1,-1.208562756E1,-1.662645936E0
4.762149018E0,-7.320855141E0,-1.270392895E1,-2.866309643E0
4.781920528E0,-1.012910366E1,-9.793779373E0,-3.141832352E0
4.801690424E0,-5.789752960E0,-7.505057335E0,-5.001648903E0
4.821461987E0,-1.297397137E0,-5.805753708E0,-6.474968910E0
4.841231882E0,2.343173504E0,-1.176177025E0,-8.050666809E0
4.861003445E0,5.660490990E0,4.552088261E0,-1.089204216E1
4.880773341E0,8.216652870E0,1.278093052E1,-9.436051369E0
4.900544851E0,5.554899216E0,1.264492512E1,-4.721538067E0
4.920314799E0,2.679514885E-1,5.656418800E0,-4.703071117E0
4.940086309E0,-7.172715664E-1,2.272864342E0,-6.888815880E0
4.959856257E0,-4.162149429E-1,3.286926746E0,-7.961300850E0
4.979627768E0,7.474346161E-1,5.943269730E0,-8.304435730E0
4.999397716E0,2.106948137E0,7.193684578E0,-7.052894115E0
5.019169226E0,8.964660168E-1,6.275399208E0,-3.431479454E0
5.038939174E0,-1.968250513E0,4.742141247E0,7.397184372E-1
5.058710684E0,-2.160373688E0,3.514006615E0,4.912914753E0
5.078480632E0,4.804265499E-1,1.285680771E0,9.564358711E0
5.098252195E0,8.467197418E-3,-2.090521812E0,1.356657982E1
5.118022091E0,-6.287766933E0,-4.081735611E-1,6.206202507E0
5.137793653E0,-7.143946648E0,1.987967968E0,-4.278099537E0
5.157563653E0,1.796699333E1,-3.145988464E1,9.996040344E0
5.177335112E0,1.430739880E0,-2.611406708E1,-1.982484055E1
5.197105059E0,7.321020126E0,1.223614883E1,-1.695325661E1
5.216876622E0,3.788091898E0,6.283993721E0,-2.171864748E0
5.236646518E0,-5.446908951E0,-5.007142067E0,-1.929360008E1
5.256418080E0,-2.568956614E0,-1.271519947E1,-2.119102716E0
5.276188028E0,-4.088422775E0,-1.294680309E1,1.841193199E0
5.295959591E0,-4.604767323E0,-4.295543671E0,-1.284968972E0
5.315729487E0,-3.092654705E0,2.697566509E0,8.501100540E-2
5.335501049E0,-1.579863727E-1,6.884718418E0,1.516228676E0
5.355270997E0,1.427912712E0,6.599261761E0,-2.660277486E-1
5.375042559E0,-9.111133218E-1,1.405740738E0,-1.218482375E0
5.394812507E0,-7.647982836E-1,-3.568346024E0,9.252050519E-1
5.414584070E0,2.466207981E0,-1.523736000E0,3.028584957E0
5.434354018E0,3.950964212E0,4.382999420E0,2.923951387E0
5.454125580E0,2.050415993E0,6.599312782E0,2.823599339E0
5.473895528E0,-4.681294918E0,2.189090729E0,3.894727230E0
5.493667091E0,-6.283588886E0,-5.123109818E-1,7.776304722E0
5.513437039E0,-3.135882616E0,5.807199478E-1,9.137340546E0
5.533208601E0,-3.543817520E0,1.252402306E0,4.142079353E0
5.552978549E0,-1.712206841E0,-6.797065735E-1,6.417289734E0
5.572750112E0,4.608188152E0,-1.183287621E0,6.008272171E0
5.592520164E0,6.158474445E0,-2.243690491E-1,6.316626072E0
5.612291674E0,2.581177711E0,4.301815033E-1,6.339944839E0
5.632061622E0,4.866117239E-1,3.080800533E0,5.681000233E0
5.651833184E0,-1.311946630E0,3.780735016E0,3.854289532E0
5.671603237E0,-4.107646942E0,-5.254643440E0,-3.495545387E0
5.691374747E0,-1.049930000E1,-1.721514893E1,-1.190080452E1
5.711144695E0,-6.956913948E0,-1.582197189E1,-1.030808163E1
5.730916257E0,6.206456661E0,-1.393862724E1,-1.105729580E0
5.750686309E0,2.789429426E0,-1.599892998E1,2.019248009E-1
5.770457820E0,-9.474304199E0,-1.619049072E1,2.254747391E0
5.790227872E0,-1.640241814E1,-1.348686123E1,1.933152676E0
5.809999382E0,-1.478546143E1,-1.253676605E1,-6.530079842E-1
5.829769434E0,-1.134865284E1,-1.027778435E1,-8.954520226E0
5.849540945E0,-7.492462158E0,-2.947053909E0,-1.452041817E1
5.869310997E0,-1.607512474E0,9.837472916E0,-4.117979527E0
5.889082507E0,3.905494452E0,1.317024422E1,-4.098765850E0
5.908852559E0,4.908466816E0,5.999484539E0,-1.068181229E1
5.928624070E0,1.987514973E0,3.217032433E0,-9.993110657E0
5.948394122E0,-8.283104897E-1,2.596205711E0,-1.016079903E1
5.968165632E0,3.911437988E-1,1.385576248E0,-1.162260151E1
5.987935632E0,2.674130201E0,3.396379471E0,-1.180992031E1
6.007707247E0,9.583199024E-1,7.621274471E0,-1.086417007E1
6.027477195E0,-2.007997513E0,1.116673470E1,-6.433238983E0
6.047248809E0,-4.402719498E0,1.218711281E1,-2.778239250E-1
6.067018862E0,-6.368080616E0,7.717376232E0,6.951362610E0
6.086790372E0,-3.420384884E0,8.598890305E-1,1.022762299E1
6.106560424E0,-1.166299820E0,-4.647846222E-1,6.107717037E0
6.126331987E0,-7.580579281E0,9.115694046E0,-4.950046539E0
6.146102039E0,2.154160500E0,1.714115143E0,-2.488916779E1
6.165873549E0,3.289418411E1,-6.413466644E1,4.957138062E1
6.185643601E0,-2.762512398E1,-5.611103058E0,-4.502816391E1
6.205415164E0,1.690142441E1,2.249768829E1,9.100892067E0
6.225185216E0,-4.595072865E-1,1.156806564E1,-2.494473457E1
6.244956726E0,-5.685604095E0,-7.267427444E0,-9.012235641E0
6.264726726E0,2.278014660E0,-2.677779770E1,6.216505527E0
6.284498341E0,-2.640420675E0,-1.159557533E1,-3.426300287E0
6.304268393E0,2.399412632E0,1.293347359E0,-1.132011652E0
6.324039955E0,1.986869454E0,5.255538940E0,-4.827340126E0
6.343809903E0,-8.784432411E-1,3.600358009E0,4.839092493E-1
6.363581518E0,-4.410111427E0,5.963125229E-1,4.862924814E-1
6.383351570E0,-1.488941908E0,5.243825912E-1,3.710246086E-2
6.403123132E0,2.295151472E0,4.305926800E0,3.394163609E0
6.422893184E0,1.128339767E-2,3.033667564E0,3.171023846E0
6.442664747E0,-3.385317564E0,1.027909279E0,2.303334236E0
6.462434695E0,-4.167639732E0,1.199654579E0,3.478572607E0
6.482206309E0,-4.657284737E0,1.384242058E0,6.463674545E0
6.501976362E0,-3.942765951E0,9.856052399E-1,9.182029724E0
