"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.190731700E-2,-4.612905160E-2,2.830924094E-1,4.818505049E-1
3.175575500E-2,0.000000000E0,0.000000000E0,0.000000000E0
5.160731700E-2,1.021017600E-2,-1.167276204E-1,-1.358564347E-1
7.146044200E-2,1.361356815E-3,-1.421919763E-1,-1.647939831E-1
9.131200500E-2,-1.089085452E-2,-1.669407487E-1,-1.933475733E-1
1.111651300E-1,-5.682268143E-1,-4.339813709E0,-4.953261852E0
1.310182550E-1,-6.235188842E-1,-3.628958464E0,-4.110878468E0
1.508698170E-1,-6.702238917E-1,-3.484951258E0,-3.959872723E0
1.707229420E-1,-6.331880093E-1,-3.334276915E0,-3.866410494E0
1.905760670E-1,-5.954016447E-1,-3.167440891E0,-3.765722275E0
2.104276300E-1,-5.724156499E-1,-2.928522825E0,-3.578605652E0
2.302870050E-1,-5.477715731E-1,-2.724476337E0,-3.452749968E0
2.501338800E-1,-5.121493936E-1,-2.575006485E0,-3.382762194E0
2.699870050E-1,-4.687256217E-1,-2.318216085E0,-3.215402603E0
2.898385670E-1,-4.106759727E-1,-2.001979828E0,-3.018267632E0
3.096932550E-1,-4.094018936E-1,-1.710090995E0,-2.750691175E0
3.295448170E-1,-4.137651920E-1,-1.535784960E0,-2.579003096E0
3.493963800E-1,-4.320388138E-1,-1.313011169E0,-2.335058451E0
3.692495050E-1,-4.572413564E-1,-1.092663407E0,-2.101673126E0
3.891026300E-1,-4.848873615E-1,-8.810945749E-1,-1.877206326E0
4.089557550E-1,-5.031784177E-1,-7.184647918E-1,-1.713284969E0
4.288073170E-1,-5.179962516E-1,-5.929930806E-1,-1.578091741E0
4.486604420E-1,-5.327792168E-1,-4.850444496E-1,-1.448850155E0
4.685135670E-1,-5.413487554E-1,-3.691895008E-1,-1.321650624E0
4.883651300E-1,-5.574930906E-1,-2.391799241E-1,-1.175095320E0
5.082182550E-1,-5.886122584E-1,-1.035678387E-1,-1.000981212E0
5.280713800E-1,-6.231697798E-1,2.178170905E-2,-8.266577721E-1
5.479245050E-1,-6.639407277E-1,1.127133593E-1,-6.691417694E-1
5.677760670E-1,-7.053573728E-1,1.717578471E-1,-5.337391496E-1
5.876307550E-1,-7.578219771E-1,2.308023423E-1,-3.953519762E-1
6.074823170E-1,-8.132885098E-1,2.836858034E-1,-2.728298604E-1
6.273338800E-1,-8.493469954E-1,2.922204733E-1,-2.098758370E-1
6.471870050E-1,-8.762425184E-1,2.683443725E-1,-1.787915230E-1
6.670401300E-1,-9.705078006E-1,2.400351316E-1,-1.423141509E-1
6.868932550E-1,-1.156699538E0,2.515194118E-1,-3.577925032E-3
7.067448170E-1,-1.378932238E0,3.181909621E-1,1.772730947E-1
7.265995050E-1,-1.534772754E0,3.682644665E-1,2.574884295E-1
7.464510670E-1,-1.647625685E0,4.503822029E-1,3.023433983E-1
7.663041920E-1,-1.713826060E0,5.529552102E-1,3.340385556E-1
7.861557550E-1,-1.770025611E0,6.776241064E-1,3.909537494E-1
8.060088800E-1,-1.792767286E0,7.397752404E-1,3.695036471E-1
8.258604420E-1,-1.747388721E0,7.669500113E-1,2.485523373E-1
8.457135670E-1,-1.711574554E0,8.011060953E-1,1.317723542E-1
8.655666920E-1,-1.698973298E0,8.690692186E-1,7.794640213E-2
8.854182550E-1,-1.696355343E0,9.302779436E-1,3.143338114E-2
9.052713800E-1,-1.652634859E0,9.428268671E-1,-6.653194875E-2
9.251245050E-1,-1.506393671E0,9.507157207E-1,-2.668783069E-1
9.449760670E-1,-1.368948936E0,9.771051407E-1,-4.506963789E-1
9.648291920E-1,-1.349837661E0,1.061282396E0,-4.175001979E-1
9.846823170E-1,-1.455971122E0,1.146524191E0,-2.113419175E-1
1.004535442E0,-1.469427586E0,1.208972096E0,-1.436755061E-1
1.024387005E0,-1.384325385E0,1.284981251E0,-2.007128596E-1
1.044240130E0,-1.111024261E0,1.370781541E0,-5.107706189E-1
1.064091692E0,-8.361872435E-1,1.466722369E0,-7.976503968E-1
1.083946380E0,-5.749463439E-1,1.571442127E0,-1.051019788E0
1.103797942E0,-3.214372993E-1,1.660628438E0,-1.292730451E0
1.123651067E0,-8.721410483E-2,1.713058114E0,-1.508575320E0
1.143502630E0,9.450957924E-2,1.743077755E0,-1.649877191E0
1.163355755E0,2.606125772E-1,1.771369576E0,-1.755801201E0
1.183208880E0,4.151090980E-1,1.812437177E0,-1.824776649E0
1.203068255E0,5.338787436E-1,1.871062756E0,-1.844097376E0
1.222915130E0,6.211626530E-1,2.082352400E0,-1.788718104E0
1.242766692E0,5.241572857E-1,2.170229673E0,-1.635024428E0
1.262619817E0,5.131267905E-1,2.270987511E0,-1.546763182E0
1.282471380E0,7.446796298E-1,2.468558788E0,-1.600274920E0
1.302324505E0,9.382715225E-1,2.602687359E0,-1.627571940E0
1.322177630E0,1.067827344E0,2.571707726E0,-1.617326856E0
1.342029192E0,1.126854420E0,2.527847528E0,-1.558229923E0
1.361880755E0,1.221363902E0,2.506572008E0,-1.496776938E0
1.381733880E0,1.377012372E0,2.541077137E0,-1.440873981E0
1.401588567E0,1.717543602E0,2.768738031E0,-1.431606293E0
1.421440130E0,1.390189648E0,2.668119669E0,-1.248207092E0
1.441291692E0,1.073831320E0,2.484633207E0,-1.067024469E0
1.461146380E0,7.187265754E-1,2.289295912E0,-8.936609626E-1
1.480997942E0,3.913202584E-1,2.139581680E0,-7.425852418E-1
1.500849505E0,1.006705910E-1,1.938240528E0,-6.086835861E-1
1.520704192E0,-1.778839529E-1,1.733251572E0,-5.013109446E-1
1.540555755E0,-3.771307468E-1,1.556083202E0,-4.154930711E-1
1.560408880E0,-4.751484394E-1,1.374656200E0,-3.510380685E-1
1.580262005E0,-5.565680265E-1,1.208221674E0,-3.048042953E-1
1.600115130E0,-6.750235558E-1,1.001539707E0,-2.744355798E-1
1.619966692E0,-8.094662428E-1,7.282735109E-1,-2.640159428E-1
1.639818255E0,-1.096520543E0,3.171088696E-1,-2.965663373E-1
1.659672942E0,-1.494577765E0,-2.405063659E-1,-4.083023369E-1
