"Time (s),""Gyroscope x (rad/s)"",""Gyroscope y (rad/s)"",""Gyroscope z (rad/s)"""
1.915170268E0,5.581616759E-1,9.559759498E-1,-6.933116168E-2
1.934941778E0,5.025745630E-1,1.706707239E0,-7.383615971E-1
1.954711622E0,1.085933685E0,1.668223858E0,-2.087112427E0
1.974483132E0,2.737053871E0,1.191763043E0,-1.580719948E0
1.994253028E0,2.812798977E0,7.586722970E-1,-1.716938972E0
2.014024487E0,1.676622987E0,-9.260444641E-1,-1.504364133E0
2.033794382E0,3.093941510E-1,-2.367033243E0,-1.541625738E0
2.053565841E0,-3.216110766E-1,-1.766570330E0,-2.121930599E0
2.073335737E0,2.373141646E-1,6.505523324E-1,-2.813409805E0
2.093107247E0,-2.861819267E-1,7.421793938E-1,-2.095053434E0
2.112877091E0,-9.037485123E-1,1.551551968E-1,-1.091431379E0
2.132648601E0,-8.102889061E-1,5.674771070E-1,-2.556395829E-1
2.152418497E0,-7.418739796E-1,2.706206083E0,4.804313779E-1
2.172189955E0,-5.054761171E-1,2.777064323E0,8.286142945E-1
2.191959851E0,-2.214321345E-1,2.737970114E0,1.951656938E-1
2.211731309E0,-1.157250166E0,7.635591030E-1,-1.938065648E0
2.231501205E0,-5.769452453E-1,1.521009684E0,-3.677147865E0
2.251272664E0,3.032856584E-1,9.236010313E-1,-4.237294674E0
2.271042559E0,-1.527423620E0,-1.093416572E0,-2.341224909E0
2.290814070E0,-1.645317078E0,-1.003011227E0,-6.668924689E-1
2.310583914E0,-8.848122358E-1,-3.353551328E-1,6.505523622E-2
2.330355424E0,-5.341859460E-1,6.181774139E-1,1.927223057E-1
2.350125268E0,1.206423342E-1,4.062134326E-1,3.756710514E-2
2.369896778E0,-7.125533223E-1,-6.010736823E-1,-3.503209054E-1
2.389666674E0,-2.566474676E0,-9.602518678E-1,3.185568452E-1
2.409438132E0,-3.733803988E0,-2.076880634E-1,4.950917065E-1
2.429208028E0,-3.031329632E0,9.718579650E-1,-1.702278614E0
2.448979487E0,-5.897729993E-1,1.690825224E0,-3.233061790E0
2.468749382E0,-5.525113344E-1,-9.162709117E-2,-3.095621109E0
2.488520841E0,-7.235485911E-1,3.426853120E-1,-4.045488834E0
2.508290737E0,-9.605573416E-1,-1.899735034E-1,-3.865899563E0
2.528062195E0,-1.415638566E0,-1.130067468E0,-3.090123653E0
2.547832091E0,-7.540909648E-1,-2.980934680E-1,-2.693072796E0
2.567603549E0,5.435013771E-1,2.076880634E-2,-1.910577536E0
2.587373445E0,1.909355879E0,3.066453338E-1,-7.084301114E-1
2.607144903E0,3.326521397E0,-7.922688723E-1,3.216110766E-1
2.626914747E0,3.831081390E0,-1.333479524E0,3.442124426E-1
2.646686257E0,3.676537037E0,-3.848337829E-1,7.418739796E-1
2.666456101E0,2.917864561E0,-8.887827396E-1,7.718055248E-1
2.686227612E0,2.431019306E0,-3.200381517E0,5.268557668E-1
2.705997455E0,2.579455376E0,-3.056832314E0,5.256340504E-1
2.725768966E0,2.577622652E0,-2.362757206E0,4.401154518E-1
2.745538809E0,2.476222038E0,-2.173394442E0,2.195995897E-1
2.765310320E0,2.675358295E0,-1.753131628E0,2.874036431E-1
2.785080164E0,2.704068184E0,-1.932109833E0,5.207473040E-1
2.804851622E0,2.457285881E0,-2.344431877E0,5.311316848E-1
2.824621518E0,2.156138182E0,-2.379250050E0,3.918585181E-1
2.844392976E0,1.826891422E0,-2.346264362E0,1.059819981E-1
2.864162872E0,1.364480019E0,-1.806275368E0,-1.072036922E-1
2.883934330E0,7.640172243E-1,-1.167329073E0,-1.389677525E-1
2.903704174E0,2.562504113E-1,-6.847597957E-1,-6.261184067E-2
2.923475684E0,-1.640124917E-1,-2.168507725E-1,1.053711548E-1
2.943245528E0,-4.859289825E-1,1.997470558E-1,3.680354655E-1
2.963017039E0,-7.547017932E-1,2.028012872E-1,5.543438792E-1
2.982786882E0,-8.255600929E-1,-4.459185153E-2,5.696150661E-1
3.002558341E0,-2.385358512E-1,-8.063183725E-2,6.142069101E-1
3.022328237E0,5.557183027E-1,1.337755471E-1,6.881194115E-1
3.042099695E0,8.360971808E-1,-1.557660550E-1,8.481613994E-1
3.061869591E0,9.729269743E-1,-9.651386738E-1,9.336800575E-1
3.081641049E0,1.248419046E0,-1.163053155E0,9.006943107E-1
