"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.538383482E0,1.701200008E0,1.735199928E0,-1.581799984E0
1.558236607E0,2.054299831E0,4.589999840E-2,-7.389000058E-1
1.578094419E0,5.163700104E0,-6.862999797E-1,1.444000006E0
1.597941294E0,7.885200024E0,-5.852999687E-1,6.555500031E0
1.617794419E0,9.091499329E0,-1.315799952E0,3.677799940E0
1.637647544E0,5.826900005E0,-2.088999897E-1,-6.389299870E0
1.657500669E0,5.103999972E-1,-7.914999723E-1,-1.250799942E1
1.677352232E0,-3.736199856E0,-1.657999903E-1,-6.792599678E0
1.697205357E0,-1.641999930E-1,-3.529999778E-2,6.413699627E0
1.717058482E0,-2.916699886E0,-1.317899942E0,8.208399773E0
1.736910044E0,-8.044099808E0,5.985000134E-1,3.467399836E0
1.756769419E0,-9.031099319E0,2.277600050E0,-1.194899917E0
1.776616294E0,-6.876299858E0,4.253299713E0,-5.424099922E0
1.796469419E0,-2.287899971E0,7.320099831E0,-4.122399807E0
1.816320982E0,4.149999917E-1,7.462299824E0,9.729999900E-1
1.836174107E0,-1.024899960E0,3.710399866E0,2.692699909E0
1.856031919E0,-3.232199907E0,-3.603999913E-1,9.613999724E-1
1.875878794E0,-3.832199812E0,-2.323600054E0,-7.189999521E-2
1.895731919E0,-2.005499840E0,-1.127799988E0,-2.171499968E0
1.915583482E0,-5.763999820E-1,1.243600011E0,6.051999927E-1
1.935436607E0,2.522699833E0,1.334399939E0,2.295500040E0
1.955289732E0,8.083000183E0,1.499799967E0,2.822599888E0
1.975142857E0,9.574500084E0,-1.593400002E0,5.690000057E-1
1.994994419E0,6.665299892E0,-7.953999639E-1,-1.090999991E-1
2.014847544E0,4.613399982E0,-3.887999952E-1,4.257999957E-1
2.034699107E0,2.898999929E0,-8.901999593E-1,9.095000029E-1
2.054552232E0,-1.097700000E0,9.715999961E-1,1.301899910E0
2.074405357E0,-1.395200014E0,1.326499939E0,5.661999583E-1
2.094258482E0,2.019999921E-1,7.712999582E-1,-2.507999837E-1
2.114110044E0,-7.871999741E-1,-2.241999954E-1,-8.000999689E-1
2.133963169E0,-4.362499714E0,-1.490899920E0,6.556000113E-1
2.153814732E0,-6.950999737E0,-1.241400003E0,1.479900002E0
2.173667857E0,-8.328700066E0,-2.180000022E-2,2.393999994E-1
2.193520982E0,-4.632800102E0,5.580999851E-1,-1.456200004E0
2.213374107E0,-1.796599984E0,2.818699837E0,-1.991599917E0
2.233225669E0,8.589999676E-1,1.741899967E0,-3.056200027E0
2.253078794E0,-5.261999965E-1,9.151999950E-1,-1.639999986E0
2.272931919E0,-2.086999893E0,1.092399955E0,-7.823999524E-1
2.292783482E0,-2.125299931E0,3.477999866E-1,-1.728199959E0
2.312636607E0,-1.467199922E0,-9.574999809E-1,-2.618000031E0
2.332489732E0,-1.642300010E0,-1.278699994E0,-2.703500032E0
2.352341294E0,-1.575099945E0,-1.082199931E0,1.807799935E0
2.372194419E0,-1.662899971E0,-4.460700035E0,-9.479999542E-1
2.392049107E0,-5.391699791E0,-1.289319992E1,3.112900019E0
2.411900669E0,-6.439899921E0,-1.728009987E1,5.149699688E0
2.431752232E0,-1.752289963E1,-1.908359909E1,-8.527999520E-1
2.451605357E0,-1.522779942E1,-7.808499813E0,-6.089399815E0
2.471458482E0,-6.128799915E0,5.119000077E-1,-9.415999651E-1
2.491310044E0,7.479999959E-2,3.505999804E0,2.615399837E0
2.511163169E0,2.098299980E0,2.537400007E0,2.353299856E0
2.531016294E0,1.139199972E0,8.744999766E-1,1.118899941E0
2.550869419E0,1.009400010E0,7.997999787E-1,-1.832599998E0
2.570720982E0,1.756599903E0,1.827600002E0,-1.987999916E0
2.590574107E0,3.363799810E0,2.195699930E0,-5.162000060E-1
2.610427232E0,4.625099659E0,2.106499910E0,4.473999739E-1
2.630278794E0,4.992199898E0,2.015100002E0,1.340399981E0
2.650131919E0,3.487599850E0,2.472599983E0,1.337399960E0
2.669985044E0,2.389600039E0,2.508599997E0,-4.948000014E-1
2.689842857E0,2.042999983E0,1.188699961E0,-3.746199846E0
2.709689732E0,1.151799917E0,-1.085399985E0,-6.379499912E0
2.729542857E0,9.722999930E-1,-2.160899878E0,-2.368799925E0
2.749400669E0,6.186999679E-1,-3.516999781E-1,1.910699964E0
2.769247544E0,1.338599920E0,1.087999940E-1,6.535999775E-1
2.789100669E0,1.310099959E0,4.750999808E-1,3.060999870E0
2.808953794E0,-2.016000032E0,5.857999921E-1,5.223700047E0
2.828811607E0,-7.359099865E0,-3.417799950E0,8.366999626E-1
2.848658482E0,-1.164629936E1,-8.061499596E0,1.725499988E0
2.868511607E0,-1.083290005E1,-5.258999825E0,3.381899834E0
2.888364732E0,-4.474599838E0,1.192099929E0,4.075599670E0
2.908216294E0,-3.220999837E-1,3.755100012E0,3.527499914E0
2.928069419E0,1.324100018E0,2.721899986E0,1.253999919E-1
2.947920982E0,3.238999844E0,-8.215000033E-1,-2.706300020E0
2.967774107E0,2.673199892E0,-3.247699976E0,-1.673799992E0
2.987627232E0,2.134299994E0,-3.650399923E0,-8.150000125E-2
3.007480357E0,1.418499947E0,-3.407999992E0,1.612199903E0
3.027331919E0,1.424399972E0,-3.559700012E0,2.457599878E0
3.047185044E0,4.600899696E0,-3.838899851E0,-4.738999844E0
3.067038169E0,4.509699821E0,-1.838999987E0,-4.442500114E0
3.086889732E0,1.829100013E0,-3.734999895E-1,-1.436299920E0
3.106747544E0,-1.114499927E0,4.035999775E-1,9.686999917E-1
3.126595982E0,-3.152699947E0,6.096999645E-1,3.101399899E0
3.146447544E0,-3.399299860E0,1.081300020E0,2.407500029E0
3.166300669E0,-2.152499914E0,1.207199931E0,1.009500027E0
3.186153794E0,-9.242999554E-1,1.156000018E0,3.869999945E-2
3.206006919E0,-4.772000015E-1,5.555999875E-1,-3.987999856E-1
3.225858482E0,-1.994999945E-1,-2.851999998E-1,-2.457200050E0
3.245716294E0,-1.283999979E-1,-1.540499926E0,-6.673500061E0
3.265563169E0,-2.940999866E-1,-2.758299828E0,-1.840999961E0
3.285417857E0,-7.717999816E-1,-2.577899933E0,1.922999918E-1
3.305269419E0,-1.632399917E0,-1.384999990E0,-1.411000013E0
3.325120982E0,-9.068999887E-1,-2.003399849E0,2.929999828E-1
3.344974107E0,1.485799909E0,-5.166899681E0,1.723599911E0
3.364827232E0,2.429499865E0,-8.190999985E0,2.121399879E0
3.384680357E0,1.853399992E0,-6.041699886E0,1.093699932E0
3.404531919E0,5.529999733E-2,-1.880199909E0,-3.938999772E-1
3.424385044E0,-2.766199827E0,1.640000008E-2,-1.617999911E0
3.444236607E0,-4.178499699E0,-8.359999657E-1,2.337999940E-1
3.464089732E0,-3.365899801E0,-2.519199848E0,6.631299973E0
3.483942857E0,-2.445799828E0,-2.312500000E0,6.242699623E0
3.503794419E0,-1.754999995E0,-2.124599934E0,3.135200024E0
3.523647544E0,-1.129599929E0,-2.620399952E0,-8.498099327E0
3.543500669E0,-2.429699898E0,-1.387099981E0,-5.102200031E0
3.563353794E0,-1.593899965E0,5.946999788E-1,-1.299999952E-1
3.583206919E0,4.954999983E-1,1.628399968E0,5.266999602E-1
3.603058482E0,9.702999592E-1,2.090899944E0,1.960899949E0
3.622911607E0,1.774199963E0,1.752099991E0,8.016999960E-1
3.642763169E0,2.356999874E0,1.215600014E0,-3.252999783E-1
3.662616294E0,2.032999992E0,1.187399983E0,-6.771999598E-1
3.682469419E0,1.084200025E0,2.055700064E0,-7.403999567E-1
3.702322544E0,9.016999602E-1,3.181599855E0,-2.092999965E-1
3.722174107E0,1.169000030E0,4.370199680E0,4.298000038E-1
3.742033482E0,2.284499884E0,5.112999916E0,5.499999970E-3
3.761880357E0,4.357999802E0,4.194699764E0,-7.398999929E-1
3.781731919E0,5.149499893E0,6.538000107E-1,-2.087100029E0
3.801591294E0,3.100600004E0,-3.714299917E0,-4.024099827E0
3.821439732E0,1.916599989E0,-6.243199825E0,-4.237899780E0
3.841291294E0,2.535300016E0,-4.958399773E0,-5.799999926E-3
3.861144419E0,1.867100000E0,-2.621899843E0,2.186599970E0
3.880995982E0,1.109200001E0,-7.805999517E-1,1.372999907E0
3.900849107E0,-9.704999924E-1,2.130399942E0,4.451799870E0
3.920702232E0,-5.015599728E0,2.649199963E0,5.531699657E0
3.940553794E0,-7.898399830E0,-9.429499626E0,-7.055999756E0
3.960406919E0,-1.150150013E1,-1.359700012E1,-3.818999827E-1
3.980258482E0,-7.626299858E0,-4.490299702E0,3.621899843E0
4.000111607E0,-3.062399864E0,4.436999798E0,-4.778999984E-1
4.019964732E0,-1.141799927E0,6.446199894E0,1.725999951E0
4.039817857E0,3.488999903E-1,4.645800114E0,1.913399935E0
4.059670982E0,1.018100023E0,-5.295000076E-1,2.951999903E-1
4.079522544E0,1.684999943E0,-4.261600018E0,-1.159999967E-1
4.099375669E0,1.931399941E0,-4.564799786E0,-6.699000001E-1
4.119227232E0,2.127199888E0,-2.726899862E0,-6.053000093E-1
4.139080357E0,1.968499899E0,-5.367999673E-1,4.019999802E-1
4.158933482E0,2.705399990E0,3.895999789E-1,1.808099985E0
4.178785044E0,3.955299854E0,-1.435899973E0,-4.586599827E0
4.198638169E0,3.029700041E0,-1.552099943E0,-3.459899902E0
4.218497544E0,9.478999972E-1,-1.170799971E0,1.304700017E0
4.238349107E0,-2.703999877E-1,-7.698999643E-1,2.731999874E0
4.258195982E0,-1.297399998E0,-3.023999929E-1,2.342099905E0
4.278049107E0,-2.081199884E0,2.178999931E-1,4.870999753E-1
4.297902232E0,-2.243499994E0,1.318999976E-1,-8.698999882E-1
4.317753794E0,-1.997899890E0,-1.560000032E-1,-9.036999941E-1
4.337606919E0,-1.156000018E0,-1.512999982E-1,-5.860999823E-1
4.357460044E0,-1.641999930E-1,-5.949000120E-1,-2.049999952E0
4.377311607E0,6.129999757E-1,-1.300799966E0,-2.090299845E0
4.397164732E0,8.747999668E-1,-2.148499966E0,-7.155999541E-1
4.417017857E0,-1.915999949E-1,-2.711199999E0,-1.213799953E0
4.436869419E0,-9.167999625E-1,-3.160199881E0,-6.811999679E-1
4.456722544E0,-1.335699916E0,-4.849800110E0,2.124999911E-1
4.476575669E0,-2.821999788E-1,-5.868799686E0,3.881999850E-1
4.496427232E0,8.555999994E-1,-4.548699856E0,4.220999777E-1
4.516280357E0,2.897999883E-1,-2.501600027E0,1.743899941E0
4.536133482E0,-2.151000023E0,-2.253099918E0,4.486799717E0
4.555985044E0,-4.370199680E0,-2.688499928E0,6.057600021E0
4.575838169E0,-4.634500027E0,-2.505300045E0,4.604499817E0
4.595691294E0,-4.558399677E0,-1.846499920E0,-2.906499863E0
4.615544419E0,-4.083199978E0,-8.872999549E-1,-6.108200073E0
4.635402232E0,-2.418099880E0,-1.139999926E-2,-1.630800009E0
4.655249107E0,1.065099955E0,1.669999957E-1,-3.579999879E-2
4.675102232E0,3.429399967E0,-2.432999909E-1,8.993999958E-1
4.694955357E0,3.393299818E0,3.334999979E-1,1.413800001E0
4.714806919E0,2.413100004E0,1.127599955E0,1.247999966E-1
4.734664732E0,1.043900013E0,1.924699903E0,-3.391999900E-1
4.754511607E0,5.769999623E-1,2.209499836E0,-4.726999998E-1
4.774364732E0,4.943999946E-1,3.118099928E0,-5.956000090E-1
4.794216294E0,1.514299989E0,4.691400051E0,-5.801999569E-1
4.814069419E0,1.853099942E0,4.914799690E0,-4.503999949E-1
4.833922544E0,1.940199971E0,4.382800102E0,-3.728999794E-1
4.853774107E0,2.648999929E0,3.551899910E0,-4.345999956E-1
4.873627232E0,3.047099829E0,7.228999734E-1,-3.385399818E0
4.893480357E0,1.661399961E0,-2.129199982E0,-3.393299818E0
4.913339732E0,1.166499972E0,-3.081099987E0,-1.894699931E0
4.933186607E0,1.017199993E0,-2.367199898E0,-9.449999779E-2
4.953038169E0,1.743999958E0,-2.446099997E0,-2.559099913E0
4.972891294E0,3.820599794E0,-2.861799955E0,2.536000013E-1
4.992742857E0,-1.301399946E0,-9.848999977E-1,1.020919991E1
5.012595982E0,-5.899399757E0,-4.877599716E0,1.160999984E-1
5.032449107E0,-1.084829998E1,-1.565319920E1,-9.349899292E0
5.052302232E0,-9.975599289E0,-6.205800056E0,1.807699919E0
5.072153794E0,-3.874499798E0,2.744599819E0,5.621399879E0
5.092006919E0,-1.594200015E0,6.124599934E0,6.235499859E0
5.111860044E0,-1.064800024E0,5.590799809E0,3.719399929E0
5.131711607E0,-1.018599987E0,2.949000001E-1,-6.390999556E-1
5.151564732E0,7.229999900E-1,-3.826900005E0,-2.726899862E0
5.171417857E0,2.613100052E0,-4.125099659E0,-2.890899897E0
5.191275669E0,3.233399868E0,-2.647799969E0,-1.895399928E0
5.211122544E0,3.011999846E0,-1.041899920E0,-7.472999692E-1
5.230981919E0,2.746099949E0,-5.982999802E-1,1.563199997E0
5.250828794E0,5.884899616E0,-2.131599903E0,-4.465399742E0
5.270680357E0,4.613500118E0,-1.961999893E0,-3.339799881E0
5.290533482E0,1.602999926E0,-1.258399963E0,1.707399964E0
5.310386607E0,-1.092800021E0,-3.581999838E-1,3.071799994E0
5.330238169E0,-2.926100016E0,-4.293999970E-1,3.273799896E0
5.350091294E0,-3.100399971E0,-2.011999935E-1,1.594200015E0
5.369944419E0,-2.742399931E0,-5.135999918E-1,-7.146999836E-1
5.389797544E0,-2.696799994E0,-8.209999800E-1,-4.062200069E0
5.409649107E0,-2.176300049E0,-1.786000013E0,-4.515199661E0
5.429502232E0,-1.025699973E0,-2.611899853E0,-2.049799919E0
5.449355357E0,1.487900019E0,-3.288199902E0,-6.772999763E-1
5.469213169E0,4.036699772E0,-5.063099861E0,1.031499982E0
5.489060044E0,2.040499926E0,-6.090600014E0,1.345700026E0
5.508913169E0,8.262000084E-1,-4.217400074E0,1.507200003E0
5.528764732E0,-1.819000006E0,-2.675899982E0,9.489999712E-2
5.548617857E0,-4.913899899E0,-2.411700010E0,-1.196999997E-1
5.568470982E0,-5.412999630E0,-3.461499929E0,3.871799946E0
5.588322544E0,-7.615299702E0,-4.565999985E0,4.876199722E0
5.608175669E0,-7.903899670E0,-3.372200012E0,-2.597699881E0
5.628027232E0,-5.126299858E0,-1.499699950E0,-5.584499836E0
5.647881919E0,-1.609799981E0,-5.219999701E-2,-1.815899968E0
5.667733482E0,1.552899957E0,6.351000071E-1,2.223199844E0
5.687586607E0,3.620599985E0,1.225499988E0,4.382800102E0
5.707438169E0,5.097699642E0,9.666000009E-1,1.383499980E0
5.727297544E0,3.692899942E0,3.154000044E-1,-2.365700006E0
5.747144419E0,1.816100001E0,9.521999955E-1,-2.040600061E0
5.766997544E0,1.254699945E0,2.271699905E0,-1.039999962E0
5.786849107E0,6.782000065E-1,3.876699924E0,3.752000034E-1
5.806702232E0,4.263999760E-1,5.341899872E0,5.974000096E-1
5.826555357E0,5.629999638E-1,6.646399975E0,5.683999658E-1
5.846406919E0,1.118899941E0,7.570799828E0,-2.536999881E-1
5.866260044E0,2.824100018E0,6.467599869E0,-3.837399960E0
5.886113169E0,2.482199907E0,8.581999540E-1,-7.742099762E0
5.905964732E0,1.059399962E0,-5.488399982E0,-9.123899460E0
5.925817857E0,2.218499899E0,-8.521299362E0,-3.574599981E0
5.945669419E0,3.714200020E0,-7.752899647E0,3.800599813E0
5.965522544E0,2.149399996E0,-4.334099770E0,7.084899902E0
