Cadence,XZ Swey Area,YZ Swey Area,XY Swey Area,Skew_z,Kurtosis_z,class
91.1312440602452,1.66410220834034,0.18934573260812,1.66410220834034,-32.649655434629,1066,0
75.4440441663421,1.55275249168997,1.55275249168997,2.38540490013399,27.8208554864871,774,0
79.2931203473855,12.3922594525615,0.370051460067482,17.5300879674413,-33.3616546352246,1113,0
73.4399438390061,1.01842499841494,12.1835238164183,1.01842499841494,-22.8035085019828,520,0
79.2931203473855,1.54428411954103,1.04096697959097,1.54428411954103,-33.3616546352246,1113,0
82.764369551689,1.56718567357547,1.56718567357547,2.67881577623855,-27.6043474836845,762,0
87.9871016623394,1.71600131801437,0.9926123460989,2.42745515232246,-28.8270706107991,831,0
70.8430594458398,3.23834896529143,1.41466670890049,3.23834896529143,-27.0370116691915,731,0
97.2227867295294,1.58115436781351,0.850877478502993,1.58115436781351,-31.2409987036266,976,0
80.2633541371882,1.09964377381367,1.09964377381367,1.61052055701042,30.935416596516,957,0
83.1826645388226,2.98061684803001,1.01549363406503,4.21638005104899,-27.3861278752583,750,0
73.2308036723428,6.9429042206454,1.80015331566369,6.9429042206454,-35.1425667816112,1235,0
91.1312440602452,1.66410220834034,0.18934573260812,1.66410220834034,-32.649655434629,1066,0
75.4440441663421,1.55275249168997,1.55275249168997,2.38540490013399,27.8208554864871,774,0
79.2931203473855,12.3922594525615,0.370051460067482,17.5300879674413,-33.3616546352246,1113,0
73.4399438390061,1.01842499841494,12.1835238164183,1.01842499841494,-22.8035085019828,520,0
79.2931203473855,1.54428411954103,1.04096697959097,1.54428411954103,-33.3616546352246,1113,0
82.764369551689,1.56718567357547,1.56718567357547,2.67881577623855,-27.6043474836845,762,0
87.9871016623394,1.71600131801437,0.9926123460989,2.42745515232246,-28.8270706107991,831,0
70.8430594458398,3.23834896529143,1.41466670890049,3.23834896529143,-27.0370116691915,731,0
97.2227867295294,1.58115436781351,0.850877478502993,1.58115436781351,-31.2409987036266,976,0
80.2633541371882,1.09964377381367,1.09964377381367,1.61052055701042,30.935416596516,957,0
83.1826645388226,2.98061684803001,1.01549363406503,4.21638005104899,-27.3861278752583,750,0
73.2308036723428,6.9429042206454,1.80015331566369,6.9429042206454,-35.1425667816112,1235,0
