,timestamp,acc_x,acc_y,acc_z
0,1663334758273,-1.9875383,2.449054,9.352647
1,1663334758293,-1.9588244,2.420041,9.333504
2,1663334758294,-1.9540387,2.4538395,9.319147
3,1663334758294,-1.9851454,2.4346972,9.316754
4,1663334758294,-1.966003,2.4418755,9.316754
5,1663334758294,-1.9827527,2.4299114,9.316754
6,1663334758294,-1.9947168,2.4394827,9.295218
7,1663334758294,-1.9827527,2.4418755,9.30479
8,1663334758294,-1.992324,2.4442682,9.309576
9,1663334758294,-1.9612173,2.4681966,9.319147
10,1663334758298,-1.977967,2.4658036,9.283255
11,1663334758299,-1.9492532,2.4275186,9.28804
12,1663334758301,-1.9851454,2.4346972,9.28804
13,1663334758305,-1.9851454,2.4681966,9.319147
14,1663334758307,-1.9803598,2.449054,9.307182
15,1663334758308,-1.9588244,2.4634109,9.302397
16,1663334758311,-1.951646,2.4729822,9.292826
17,1663334758313,-1.9588244,2.4705894,9.319147
18,1663334758316,-1.9468603,2.4849463,9.309576
19,1663334758318,-1.9540387,2.4849463,9.3358965
20,1663334758321,-1.9348962,2.4825535,9.328718
21,1663334758323,-1.9444675,2.4849463,9.359825
22,1663334758325,-1.9588244,2.4945176,9.3358965
23,1663334758327,-1.951646,2.5184457,9.338289
24,1663334758331,-1.951646,2.5375884,9.350254
25,1663334758333,-1.9277177,2.5232315,9.367003
26,1663334758335,-1.9181465,2.5256243,9.350254
27,1663334758337,-1.9348962,2.4969103,9.340682
28,1663334758340,-1.9420747,2.5375884,9.333504
29,1663334758342,-1.9540387,2.53041,9.309576
30,1663334758345,-1.937289,2.5184457,9.302397
31,1663334758346,-1.9612173,2.5112674,9.311969
32,1663334758348,-1.9348962,2.5256243,9.285647
33,1663334758351,-1.966003,2.5088747,9.290433
34,1663334758354,-2.0090737,2.516053,9.276076
35,1663334758356,-2.0210378,2.477768,9.24467
36,1663334758358,-2.0282164,2.4921248,9.247063
37,1663334758359,-2.044966,2.4681966,9.256635
38,1663334758364,-2.1023939,2.4586253,9.237492
39,1663334758364,-2.1095722,2.449054,9.254242
40,1663334758368,-2.1047866,2.4251258,9.249456
41,1663334758374,-2.1119652,2.408077,9.251849
42,1663334758375,-2.1601207,2.4104698,9.256635
43,1663334758375,-2.1625135,2.4152553,9.283255
44,1663334758378,-2.1912274,2.3961127,9.300004
45,1663334758379,-2.207977,2.367399,9.316754
46,1663334758383,-2.2223341,2.367399,9.34786
47,1663334758384,-2.2390838,2.338685,9.3358965
48,1663334758387,-2.2510478,2.3434706,9.367003
49,1663334758389,-2.274976,2.3434706,9.383753
