"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.524863050E-1,5.459182262E-1,-3.206316233E-1,-8.980031013E-1
1.722559410E-1,3.209393024E-1,-8.045911789E-2,4.553080559E0
1.920271390E-1,-2.873286486E0,1.158857703E0,6.124705315E0
2.117967740E-1,-5.213932037E0,3.138154030E0,3.273818970E0
2.315680240E-1,-5.453091621E0,4.117486000E0,2.886025429E0
2.513376070E-1,-5.811753750E0,3.938320160E0,2.670871735E0
2.711088570E-1,-5.765185833E0,2.835250854E0,3.022066116E0
2.908784410E-1,-6.206095219E0,1.895115614E0,1.965133667E0
3.106496910E-1,-5.766073227E0,1.513145685E0,-4.564867020E-1
3.304193260E-1,-2.759408474E0,1.485061407E0,-1.464039803E0
3.501905240E-1,-1.096951604E0,1.595113516E0,-3.617733955E0
3.699601590E-1,-3.124887943E-1,1.625566244E0,-5.804443836E0
3.897313570E-1,-1.265075207E-1,1.030485153E0,-2.626181602E0
4.095009930E-1,-9.229240417E-1,5.610589981E-1,1.282697678E0
4.292722430E-1,-1.306908369E0,8.111295700E-1,1.940688133E0
4.490418260E-1,-1.634792209E0,1.273219347E0,-9.819879532E-1
4.688130760E-1,-7.355961800E-1,1.024545670E0,-3.591431618E0
4.885827110E-1,-1.732815027E0,1.847879887E-1,-3.012613773E0
5.083539090E-1,-3.390396118E0,-6.344940662E-1,-2.421284676E0
5.281235450E-1,-4.704304695E0,-7.333190441E-1,-2.939284325E0
5.478947430E-1,-3.258461952E0,-5.898857117E-1,-1.527144432E0
5.676643780E-1,-2.041404486E0,-9.708952904E-2,3.448071480E0
5.874355760E-1,-3.218568802E0,3.732886314E-1,1.411101341E0
6.072052110E-1,-3.069675684E0,1.613208294E0,-4.371163845E0
6.269764610E-1,-2.264773130E0,2.662399769E0,-5.645069599E0
6.467460450E-1,-3.105254412E0,2.400030613E0,-4.212885380E0
6.665172950E-1,-4.352461338E0,1.231986523E0,-2.700234890E0
6.862868780E-1,-4.992866516E0,2.903175354E-2,-1.565347672E0
7.060581280E-1,-3.574345112E0,-2.570996284E-1,-1.899089813E-1
7.258277640E-1,-2.241246462E0,2.862443924E-1,-1.106098175E0
7.455989610E-1,-2.030836582E0,1.011290550E0,-2.908333302E0
7.653685970E-1,-2.078293800E0,1.725141048E0,-4.049456596E0
7.851397950E-1,-2.288376331E0,2.143408775E0,-4.143855572E0
8.049094300E-1,-2.360421658E0,2.323134422E0,-2.928866386E0
8.246806280E-1,-3.005956650E0,2.393847942E0,-2.417393684E0
8.444502640E-1,-3.394665718E0,2.496007442E0,-2.156175613E0
8.642215140E-1,-2.673205853E0,2.630532265E0,-1.465295315E0
8.839910970E-1,-2.356627941E0,2.440077782E0,2.255983353E-1
9.037623470E-1,-2.785061598E0,2.211100578E0,9.045200348E-1
9.235319300E-1,-2.364149809E0,2.262154579E0,2.229423523E-1
