"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.852742191E0,-1.945243120E0,1.521009684E0,-4.978405312E-2
1.872511826E0,-1.559187651E0,2.517301559E0,6.954495907E-1
1.892283024E0,-1.110214949E0,2.869913101E0,2.113837004E0
1.912052659E0,-2.748812549E-3,2.220429897E0,3.477858782E0
1.931823857E0,1.505585790E0,3.250470877E0,3.727084637E0
1.951593441E0,2.852504015E0,3.383635759E0,3.509011984E0
1.971364691E0,2.897706747E0,2.360313892E0,1.969066143E0
1.991134274E0,3.093788624E0,3.114862919E0,1.171910524E0
2.010905472E0,2.040688038E0,1.252847672E0,1.243074164E-1
2.030675107E0,5.453338623E-1,3.837495089E0,-9.167290330E-1
2.050446305E0,5.850389600E-1,3.989596128E0,-8.215895295E-2
2.070215941E0,1.630198598E0,4.935645759E-1,9.397885203E-1
2.089987139E0,1.515970230E0,-3.988832533E-1,9.978190064E-1
2.109756722E0,4.078932703E-1,4.312581718E-1,2.079934925E-1
2.129527972E0,-1.160915256E0,1.070815206E0,-1.315612316E0
2.149297555E0,-3.032551289E0,1.878355265E0,-2.658254623E0
2.169068753E0,-3.501681805E0,2.123305082E0,-3.249554634E0
2.188838389E0,-2.545095205E0,1.458703279E0,-3.083404303E0
2.208609586E0,-2.155374527E0,9.559759498E-1,-2.462172508E0
2.228379222E0,-2.682535648E0,8.252546191E-1,-2.011978149E0
2.248150420E0,-2.816922188E0,7.837170362E-1,-1.985100865E0
2.267920003E0,-2.072299242E0,5.900784731E-1,-2.500655890E0
2.287691253E0,-9.880454540E-1,9.883508682E-1,-2.517759800E0
2.307460836E0,-1.542389393E-1,1.984031916E0,-2.139645338E0
2.327232034E0,1.340809762E-1,2.995136738E0,-1.962499499E0
2.347001670E0,5.039490014E-2,3.369586229E0,-2.023584366E0
2.366772868E0,-3.023693897E-2,2.820434570E0,-2.038244486E0
2.386542451E0,-2.037175596E-1,1.364021897E0,-1.953947663E0
2.406313701E0,-6.697940230E-1,-1.638903141E0,-1.343100429E0
