"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.410943900E-2,-5.223899841E0,-1.479499936E0,3.305999935E-1
4.394225200E-2,-3.611799955E0,-8.763999939E-1,1.179000020E0
6.379381400E-2,-2.515699863E0,-7.258999944E-1,8.748999834E-1
8.364693900E-2,-9.618999958E-1,-2.339999974E-1,6.757999659E-1
1.035000640E-1,-6.830000132E-2,-7.283999920E-1,-2.779999971E-1
1.233516270E-1,1.596999913E-1,-4.086000025E-1,-1.255999923E0
1.432047520E-1,4.830999970E-1,-5.733000040E-1,-6.688999534E-1
1.630578770E-1,2.861999869E-1,-1.131399989E0,6.979999542E-1
1.829110020E-1,2.461999953E-1,-1.100399971E0,4.105999768E-1
2.027625640E-1,2.340999991E-1,-4.492999911E-1,7.400000002E-3
2.226156890E-1,-7.059999555E-2,2.067999989E-1,-2.315500021E0
2.424672520E-1,-3.409999907E-1,3.612000048E-1,-3.965399981E0
2.623203770E-1,-3.791999817E-1,-5.389999971E-2,-3.281499863E0
2.821735020E-1,-2.879000008E-1,-9.301999807E-1,1.431599975E0
3.020266270E-1,6.659999490E-2,-1.803099990E0,3.306699991E0
3.218781890E-1,1.618999988E-1,-1.740099907E0,1.941999912E0
3.417313140E-1,2.906000018E-1,-1.060899973E0,4.521999955E-1
3.615828770E-1,-1.312000006E-1,-5.200999975E-1,9.469999671E-1
3.814360020E-1,-4.472000003E-1,2.987999916E-1,1.809999943E-1
4.012891270E-1,-5.483999848E-1,9.452999830E-1,6.965999603E-1
4.211406890E-1,2.256999910E-1,8.481999636E-1,6.042000055E-1
4.409938140E-1,3.420999944E-1,-1.021999940E-1,1.292999983E-1
4.608469390E-1,9.031999707E-1,-1.266799927E0,-2.007699966E0
4.806985020E-1,1.099499941E0,-2.738299847E0,-5.539399624E0
5.005516270E-1,5.306999683E-1,-1.245000005E0,-5.920799732E0
5.204047520E-1,-2.678000033E-1,-1.491999924E-1,-1.240599990E0
5.402563140E-1,-1.011799932E0,2.954999804E-1,-1.201699972E0
5.601094390E-1,-6.762999892E-1,2.698999941E-1,-2.966799974E0
5.799625640E-1,-1.265799999E0,-2.466999888E-1,-2.599299908E0
5.998156890E-1,-8.297999501E-1,-8.497999907E-1,-2.228600025E0
6.196672520E-1,-1.034799933E0,-4.860999882E-1,-1.041599989E0
6.395219390E-1,-1.857499957E0,-6.273999810E-1,8.334999681E-1
6.593735020E-1,-2.197700024E0,-1.060799956E0,1.956099987E0
6.792250640E-1,-2.582900047E0,-1.363699913E0,1.605599999E0
6.990781890E-1,-3.028499842E0,-1.851499915E0,9.605000019E-1
7.189313140E-1,-3.558300018E0,-2.196500063E0,1.294600010E0
7.387828770E-1,-3.487200022E0,-2.290599823E0,1.609799981E0
7.586360020E-1,-2.383399963E0,-1.975899935E0,1.575999975E0
7.784891270E-1,-2.987399817E0,-1.893099904E0,2.011800051E0
7.983422520E-1,-3.616999865E0,-1.893899918E0,1.987499952E0
8.181938140E-1,-3.441200018E0,-1.715799928E0,1.547799945E0
8.380531890E-1,-3.190999985E0,-1.525799990E0,1.333599925E0
8.579000640E-1,-2.507499933E0,-1.193899989E0,1.351499915E0
8.777516270E-1,-1.793699980E0,-6.159999967E-1,1.299999952E0
8.976047520E-1,-1.287699938E0,-5.903999805E-1,6.832000017E-1
9.174578770E-1,-1.528999954E-1,-8.434000015E-1,-1.416999996E-1
9.373110020E-1,-1.048000008E-1,-6.439999938E-1,-5.758000016E-1
9.571625640E-1,2.018999904E-1,-2.529000044E-1,-7.441999912E-1
9.770156890E-1,7.615999579E-1,2.393999994E-1,-7.321000099E-1
9.968688140E-1,9.086999893E-1,2.141999900E-1,-9.407999516E-1
1.016720377E0,1.247900009E0,4.493999779E-1,-1.180899978E0
1.036573502E0,1.129799962E0,-6.859999895E-2,-1.458199978E0
1.056426627E0,5.083000064E-1,-6.639999896E-2,-1.670199990E0
1.076278189E0,1.587999910E-1,4.888999760E-1,-1.152199984E0
1.096131314E0,2.425999939E-1,9.636999965E-1,-4.250000045E-2
1.115984439E0,6.680999994E-1,1.300899982E0,4.903999865E-1
1.135836002E0,8.008999825E-1,1.143199921E0,5.546000004E-1
1.155689127E0,7.795999646E-1,4.272999763E-1,-3.393999934E-1
1.175542252E0,1.066999957E-1,-3.064999878E-1,-1.135499954E0
1.195395377E0,-3.960999846E-1,-6.651999950E-1,-1.457299948E0
1.215246939E0,-2.520000041E-1,-6.143000126E-1,-1.009999990E0
1.235100064E0,-5.040000007E-2,-2.302999943E-1,-2.011999935E-1
1.254953189E0,1.579999924E-1,-8.590000123E-2,4.548999965E-1
1.274804752E0,-5.813999772E-1,-1.322199941E0,-4.649999738E-2
1.294657877E0,-1.347299933E0,-1.723500013E0,-4.687999785E-1
1.314511002E0,-1.434299946E0,-1.271299958E0,-3.777999878E-1
1.334364127E0,-9.918999672E-1,-5.185999870E-1,-1.673000008E-1
1.354215689E0,-7.536999583E-1,4.809999838E-2,9.519999474E-2
1.374068814E0,-1.252200007E0,1.608999968E-1,1.528999954E-1
1.393921939E0,-1.504699945E0,-3.865000010E-1,-1.361999959E-1
1.413775064E0,-1.740299940E0,-6.014999747E-1,-2.073999941E-1
1.433626627E0,-2.349699974E0,-4.404999912E-1,-2.310999930E-1
1.453479752E0,-3.396999836E0,-5.903999805E-1,-1.442999989E-1
1.473332877E0,-3.575599909E0,-5.888000131E-1,-3.238999844E-1
1.493184439E0,-2.930500031E0,-7.170999646E-1,-6.098999977E-1
1.513037564E0,-1.995099902E0,-5.697000027E-1,-6.650999784E-1
1.532889127E0,4.999999655E-4,2.644000053E-1,-5.742999911E-1
1.552742252E0,1.701799989E0,7.371000051E-1,-6.474999785E-1
1.572595377E0,2.558399916E0,4.312999845E-1,-1.398299932E0
1.592448502E0,3.149999857E0,9.619999677E-2,-8.937000036E-1
1.612301627E0,4.428199768E0,3.953999877E-1,7.562999725E-1
1.632153189E0,5.180299759E0,2.315700054E0,5.788599968E0
1.652004752E0,3.850499868E0,4.489699841E0,3.692899942E0
1.671857877E0,3.018299818E0,4.073899746E0,6.036999822E-1
1.691711002E0,1.801499963E0,1.075899959E0,-3.515999794E0
1.711564127E0,-3.402999938E-1,-3.325799942E0,-5.579499722E0
1.731415689E0,-7.655000091E-1,-1.648299932E0,1.473399997E0
1.751268814E0,-3.071199894E0,5.656999946E-1,2.813499928E0
1.771121939E0,-2.596099854E0,2.025500059E0,2.497900009E0
1.790973502E0,-7.279999852E-1,3.515399933E0,1.064000010E0
1.810826627E0,1.293799996E0,2.404799938E0,-1.054299951E0
1.830678189E0,5.394999981E-1,1.153200030E0,-1.558099985E0
1.850531314E0,-1.520999968E-1,1.239499927E0,-7.620000094E-2
1.870384439E0,3.198599815E0,4.195999801E-1,5.058199883E0
1.890236002E0,5.377199650E0,-3.782999814E-1,6.790000200E-2
1.910090689E0,4.206900120E0,-2.535300016E0,-8.185999990E-1
1.929942252E0,8.138999939E-1,-2.250799894E0,1.165999994E-1
1.949795377E0,-3.206999898E-1,-1.043900013E0,6.194999814E-1
1.969646939E0,9.984999895E-1,-4.488999844E-1,9.797999859E-1
1.989500064E0,-3.924499989E0,-3.361799955E0,-2.691999912E0
2.009353189E0,-7.369799614E0,-3.635900021E0,-6.363299847E0
2.029206314E0,-3.020299911E0,-2.160699844E0,1.724599957E0
2.049057877E0,-3.133999825E0,-3.114300013E0,2.742899895E0
2.068911002E0,-6.246099949E0,-3.862499952E0,6.171000004E-1
2.088764127E0,-4.767699718E0,-2.846400023E0,1.077700019E0
2.108615689E0,-2.470700026E0,-6.614999771E-1,3.230899811E0
2.128468814E0,-7.429999709E-1,7.348999977E-1,3.498299837E0
2.148321939E0,3.888999820E-1,8.804000020E-1,3.004299879E0
2.168173502E0,8.475999832E-1,-2.291999906E-1,5.466700077E0
2.188026627E0,1.282599926E0,-1.818799973E0,-9.333999753E-1
2.207879752E0,1.673799992E0,-1.033100009E0,-2.621899843E0
2.227732877E0,9.537999630E-1,2.669000030E-1,-2.910899878E0
2.247586002E0,5.072000027E-1,1.758599997E0,-2.886699915E0
2.267437564E0,6.958000064E-1,2.689399958E0,-1.626799941E0
2.287290689E0,1.561100006E0,2.784299850E0,-1.240599990E0
2.307142252E0,2.588199854E0,2.446499825E0,-8.682999611E-1
2.326995377E0,2.461999893E0,1.404199958E0,-3.537999988E-1
2.346848502E0,1.514199972E0,2.709999979E-1,3.066999912E-1
2.366700064E0,2.003999949E-1,1.517999917E-1,2.048999965E-1
2.386553189E0,-1.043900013E0,-7.436000109E-1,-3.333999813E-1
2.406406314E0,-6.820999980E-1,-1.412599921E0,-7.148999572E-1
2.426259439E0,1.299999952E-1,-1.846799970E0,-8.278999925E-1
2.446111002E0,9.644999504E-1,-1.704499960E0,-9.842000008E-1
2.465964127E0,1.480000019E0,-1.207999960E-1,-5.809000134E-1
2.485817252E0,2.067100048E0,1.738299966E0,1.678999960E-1
2.505668814E0,2.798599958E0,2.481400013E0,1.015799999E0
2.525521939E0,3.071300030E0,2.313400030E0,1.493099928E0
2.545375064E0,1.751999974E0,1.190699935E0,2.325099945E0
2.565226627E0,-7.353000045E-1,-4.468999803E-1,1.286899924E0
2.585079752E0,-3.513999939E0,1.492999941E-1,1.080399990E0
2.604932877E0,-5.668099880E0,4.388999939E-1,1.064700007E0
2.624784439E0,-4.798099995E0,1.099599957E0,1.693999916E-1
2.644637564E0,-2.171299934E0,1.661099911E0,-5.965999961E-1
2.664490689E0,-1.165300012E0,-1.461099982E0,-9.635999799E-1
2.684343814E0,-4.954999983E-1,-6.374399662E0,-2.313999891E0
2.704195377E0,2.318199873E0,-3.763199806E0,-5.496399879E0
2.724048502E0,6.363100052E0,-3.984399796E0,-4.809999838E-2
2.743901627E0,8.213099480E0,-3.786000013E0,2.679199934E0
2.763753189E0,7.252999783E0,-2.937599897E0,1.411999911E-1
2.783606314E0,1.240399957E0,-1.918499947E0,-2.542500019E0
2.803459439E0,-2.719899893E0,-1.219900012E0,-4.948699951E0
2.823311002E0,-4.407199860E0,-1.457099915E0,-3.253399849E0
2.843164127E0,-5.109499931E0,6.010999680E-1,4.601999819E-1
2.863017252E0,-4.135200024E0,2.135299921E0,2.595799923E0
2.882870377E0,-2.670500040E0,9.400999546E-1,3.887599945E0
2.902721939E0,-8.219999820E-2,-2.015300035E0,2.462800026E0
2.922575064E0,2.532099962E0,-6.518599987E0,1.542099953E0
2.942428189E0,4.008399963E0,-5.428400040E0,1.829999872E-2
2.962279752E0,3.364399910E0,-1.036499977E0,-1.629400015E0
2.982132877E0,2.361099958E0,1.594399929E0,-1.292599916E0
3.001984439E0,1.058799982E0,2.145099878E0,-4.154999852E-1
3.021837564E0,-5.582999587E-1,1.616099954E0,-5.508999825E-1
3.041690689E0,-1.979799986E0,1.008100033E0,-1.309999943E0
3.061542252E0,-1.958999991E0,-1.727000028E-1,-8.161999583E-1
3.081395377E0,-1.431299925E0,-6.703000069E-1,4.589999914E-1
3.101248502E0,-3.841999769E-1,-8.493999839E-1,2.636899948E0
3.121100064E0,6.455999613E-1,-1.194399953E0,5.153599739E0
3.140953189E0,9.237999916E-1,-2.005499840E0,4.301199913E0
3.160806314E0,3.055000007E-1,-3.388499975E0,2.325999886E-1
3.180657877E0,-2.474400043E0,-4.802499771E0,-4.224999905E0
3.200512564E0,-3.644099951E0,-6.362999916E0,-6.042199612E0
3.220364127E0,-4.679999948E-1,-6.637799740E0,-3.975399971E0
3.240217252E0,4.258500099E0,-5.125400066E0,7.092999816E-1
3.260068814E0,4.898200035E0,-2.900799990E0,2.909999847E0
3.279928189E0,3.160599947E0,-1.613600016E0,1.133099914E0
3.299775064E0,7.161999941E-1,-8.885999918E-1,-1.765999943E-1
3.319626627E0,-1.701200008E0,-3.648999929E-1,-4.644999802E-1
3.339479752E0,-2.157799959E0,4.708999991E-1,-5.814999938E-1
3.359332877E0,-1.134299994E0,9.517999887E-1,-9.279999882E-2
3.379184439E0,-1.118999943E-1,1.503899932E0,5.269999802E-2
3.399037564E0,2.462399960E0,2.920999825E-1,1.877999902E-1
3.418890689E0,1.505999923E0,6.384999752E-1,2.592999935E-1
3.438743814E0,3.290999830E-1,6.268000007E-1,1.989999972E-2
3.458595377E0,-9.570999742E-1,1.987999976E-1,-1.139999926E-2
3.478448502E0,-1.531099916E0,-2.132999897E-1,5.370999575E-1
3.498301627E0,-1.490099907E0,-3.317999840E-1,7.141000032E-1
3.518153189E0,-7.957999706E-1,-3.400000036E-1,9.710999727E-1
3.538006314E0,1.273999959E-1,4.666999876E-1,9.853999615E-1
3.557859439E0,1.079499960E0,1.409899950E0,8.272999525E-1
3.577712564E0,1.241500020E0,2.431299925E0,3.470000029E-1
3.597564127E0,5.214999914E-1,3.306699991E0,-2.707999945E-1
3.617417252E0,-5.963999629E-1,3.822299957E0,-8.087999821E-1
3.637270377E0,-1.527499914E0,4.309999943E0,-1.171499968E0
3.657121939E0,-1.782199979E0,4.452899933E0,-1.249499917E0
3.676975064E0,-1.948399901E0,4.461999893E0,-9.458999634E-1
3.696828189E0,-1.679999948E0,3.962699890E0,-1.957999915E-1
3.716679752E0,-1.221199989E0,2.322099924E0,5.618999600E-1
3.736532877E0,-6.439999938E-1,-5.270000100E-1,3.136299849E0
3.756386002E0,-2.917999923E-1,-3.066099882E0,6.158599854E0
3.776237564E0,-4.493999779E-1,-3.659499884E0,5.520899773E0
3.796090689E0,-4.359999895E-1,-3.847399950E0,4.096300125E0
3.815943814E0,1.477800012E0,-9.283599854E0,1.604099989E0
3.835796939E0,2.161499977E0,-1.243729973E1,-6.350100040E0
3.855648502E0,-2.785699844E0,-6.016999722E0,-8.611599922E0
3.875501627E0,1.669099927E0,-6.110000014E-1,-8.571599960E0
3.895354752E0,4.954099655E0,9.095000029E-1,-3.315199852E0
3.915206314E0,4.392399788E0,-3.482999802E-1,-1.212800026E0
3.935059439E0,2.431200027E0,-3.233500004E0,-8.143000007E-1
3.954912564E0,-1.648399949E0,-4.378200054E0,5.079999939E-2
3.974770377E0,-4.087599754E0,-3.033599854E0,7.342000008E-1
3.994617252E0,-3.442399979E0,-1.254499912E0,9.948999882E-1
