"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.254145350E-1,-1.656496525E-2,-4.207468033E-1,1.060625553E0
1.443120350E-1,7.421705723E-1,-2.876954079E-1,6.442832947E-1
1.632094830E-1,1.350157738E0,5.589766502E-1,5.333280563E-2
1.821069830E-1,5.543818474E-1,7.352690697E-1,-5.268588066E-1
2.010044310E-1,-7.748717070E-1,-2.890725136E-1,-5.631756783E-1
2.199019310E-1,-3.048797846E-1,-1.155463696E0,-1.428065300E-1
2.387994310E-1,5.509852171E-1,-1.510859013E0,-5.754823685E-1
2.576968790E-1,2.000350714E0,-7.723803520E-1,-9.967207909E-1
2.765943790E-1,2.946980715E0,-1.626944542E-1,-7.771339417E-1
2.954918270E-1,2.044782162E0,7.192373276E-2,-3.942074776E-1
3.143893270E-1,1.423354983E0,6.328096390E-1,-6.623544693E-1
3.332868270E-1,9.021983147E-1,5.278143883E-1,-1.669746399E0
3.521843270E-1,3.456664085E-2,-1.686673164E-1,-2.801446915E0
3.710817750E-1,1.782408953E-1,7.019228935E-1,-1.059918404E-1
3.899792750E-1,6.702840328E-1,9.352674484E-1,4.670324326E-1
4.088767750E-1,7.215484381E-1,7.159729004E-1,7.173104286E-1
4.277742750E-1,2.708064318E-1,2.179813385E-1,1.974475861E0
4.466717230E-1,1.373817921E-1,-4.994277954E-1,1.291633606E0
4.655692230E-1,2.585096359E-1,-1.403312683E0,-4.058513641E-1
4.844667230E-1,1.669083357E0,-2.130368710E0,-2.482673645E0
5.033642230E-1,3.420184612E0,-2.707418203E0,-5.186272621E0
5.222617230E-1,1.673050404E0,-4.946195602E0,-6.691128731E0
5.411591710E-1,-5.036740303E-1,-7.415276527E0,-2.844388723E0
5.600566710E-1,-2.421224117E-1,-8.030370712E0,3.842782974E-2
5.789541710E-1,1.747120619E0,-7.058373451E0,-2.054186821E0
5.978516710E-1,2.542465687E0,-7.179143906E0,-6.719504356E0
6.167491710E-1,-1.183881760E-1,-8.565703392E0,-8.105224609E0
6.356466710E-1,-3.149013042E0,-8.469760895E0,-3.879626036E0
6.545441710E-1,-3.621962547E0,-8.035735130E0,-8.657252789E-1
6.734416190E-1,-1.271606445E0,-7.983699322E0,-1.578304768E-1
6.923391190E-1,4.214905739E0,-8.476232529E0,3.075887442E0
7.112366190E-1,1.065429878E1,-6.171326637E0,1.144405937E1
7.301341190E-1,1.083501816E1,-1.642705441E0,1.585755920E1
7.490316190E-1,4.023122311E0,-1.110433817E0,1.215107727E1
7.679291190E-1,-6.085581779E-1,-2.038311958E0,6.916604996E0
7.868266190E-1,2.497517586E0,-1.923842669E0,5.540650368E0
8.057241190E-1,8.447427750E0,-4.968895912E-1,9.170659065E0
8.246216190E-1,1.219269276E1,1.617251039E0,1.634197235E1
8.435191190E-1,1.265717220E1,3.160637856E0,1.453725147E1
8.624166190E-1,1.234715652E1,3.368468523E0,9.681069374E0
8.813141190E-1,1.262934494E1,2.558657169E0,5.494218826E0
9.002116190E-1,1.372606754E1,3.330004215E0,2.836242437E0
9.191091190E-1,1.265070057E1,4.475704670E0,2.155577421E0
9.380066190E-1,1.009552002E1,5.157961369E0,1.857320547E0
9.569041190E-1,8.244546890E0,6.873498440E0,1.591684103E0
9.758016190E-1,3.432576180E0,5.556986332E0,-2.016050816E-1
9.946991190E-1,-7.652201653E-1,3.341598988E0,-5.848268509E0
1.013596566E0,-2.706667900E0,4.843656540E0,-2.052691650E1
