"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.254145350E-1,-1.764585078E-1,3.514662385E-1,6.232932806E-1
1.443120350E-1,1.362952888E-1,1.181225851E-1,7.350783348E-1
1.632094830E-1,1.717244387E-1,2.183015347E-1,6.629983187E-1
1.821069830E-1,-1.269798726E-1,4.113292694E-1,4.986804426E-1
2.010044310E-1,-3.096232116E-1,2.274642438E-1,3.624614775E-1
2.199019310E-1,-2.424300015E-1,-2.520508468E-1,2.366269529E-1
2.387994310E-1,-2.173852623E-1,-5.159368515E-1,1.382805556E-1
2.576968790E-1,-3.517716527E-1,-3.534514904E-1,-1.320957206E-2
2.765943790E-1,-5.081485510E-1,8.452598751E-2,-1.946312040E-1
2.954918270E-1,-5.863370299E-1,6.458946466E-1,-2.746522129E-1
3.143893270E-1,-6.486434340E-1,1.085704684E0,-2.996969223E-1
3.332868270E-1,-8.636616468E-1,1.183440208E0,-2.270061076E-1
3.521843270E-1,-1.089675188E0,8.175426722E-1,-1.259872504E-2
3.710817750E-1,-9.662840366E-1,1.114032716E-1,9.857547283E-2
3.899792750E-1,-8.050203323E-1,-4.963897467E-1,4.237752780E-2
4.088767750E-1,-6.535302401E-1,-7.309551239E-1,2.283041552E-2
4.277742750E-1,-4.580591023E-1,-7.132405043E-1,1.340046227E-1
4.466717230E-1,-3.438306451E-1,-7.016344070E-1,3.300865889E-1
4.655692230E-1,-2.454842478E-1,-1.005225539E0,4.986804426E-1
4.844667230E-1,-2.876327038E-1,-1.398687482E0,3.887279332E-1
5.033642230E-1,-7.769213319E-1,-1.621035933E0,-2.542651631E-2
5.222617230E-1,-1.454350948E0,-1.862320542E0,-1.506502032E-1
5.411591710E-1,-1.439079762E0,-2.229439735E0,1.645469815E-1
5.600566710E-1,-9.339091182E-1,-2.466448545E0,4.284330010E-1
5.789541710E-1,-8.758786321E-1,-2.461561680E0,3.691807985E-1
5.978516710E-1,-1.745725155E0,-2.578233480E0,2.891598344E-1
6.167491710E-1,-2.721324444E0,-3.281929493E0,5.280010700E-1
6.356466710E-1,-2.766527176E0,-4.761477947E0,1.037447691E0
6.545441710E-1,-2.266854286E0,-6.471926689E0,1.675172210E0
6.734416190E-1,-2.126282930E0,-7.526248932E0,2.474236727E0
6.923391190E-1,-2.635195017E0,-6.590431213E0,3.206031799E0
7.112366190E-1,-2.825779438E0,-3.999140739E0,3.118069887E0
7.301341190E-1,-2.120785236E0,-2.269755602E0,2.615342617E0
