"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.240689000E-3,3.511602432E-2,-1.012989059E-1,-2.199812979E-1
2.410943900E-2,3.511602432E-2,-1.012989059E-1,-2.199812979E-1
4.394225200E-2,0.000000000E0,0.000000000E0,0.000000000E0
6.379381400E-2,1.317199916E-1,-7.051828504E-1,-1.065907478E0
8.364693900E-2,1.022239327E-1,-6.534163356E-1,-1.019342065E0
1.035000640E-1,8.045967668E-2,-6.008121371E-1,-9.285326004E-1
1.233516270E-1,2.644173801E-2,-3.918089569E-1,-5.159891248E-1
1.432047520E-1,-1.176351868E-2,-2.927615345E-1,-2.984862030E-1
1.630578770E-1,-3.851941600E-2,-2.813645303E-1,-2.671226263E-1
1.829110020E-1,-6.806784123E-2,-3.395014405E-1,-4.078834355E-1
2.027625640E-1,-9.070476145E-2,-4.950975478E-1,-7.907214165E-1
2.226156890E-1,-1.164658219E-1,-6.072000265E-1,-1.099138498E0
2.424672520E-1,-1.431519091E-1,-6.437472105E-1,-1.221224308E0
2.623203770E-1,-1.514073163E-1,-5.848249197E-1,-1.106433988E0
2.821735020E-1,-1.446528882E-1,-4.600687921E-1,-8.208807111E-1
3.020266270E-1,-1.485798806E-1,-4.128401875E-1,-7.607715726E-1
3.218781890E-1,-1.596278101E-1,-4.674515426E-1,-9.958848953E-1
3.417313140E-1,-1.785471886E-1,-5.339660048E-1,-1.285836458E0
3.615828770E-1,-2.030166984E-1,-5.732184649E-1,-1.497649550E0
3.814360020E-1,-2.332108915E-1,-5.774945617E-1,-1.602299571E0
4.012891270E-1,-2.552718520E-1,-5.487140417E-1,-1.590902567E0
4.211406890E-1,-2.663896084E-1,-5.270894170E-1,-1.585439682E0
4.409938140E-1,-2.714510560E-1,-5.060756803E-1,-1.567672133E0
4.608469390E-1,-2.773153782E-1,-4.774522781E-1,-1.517686009E0
4.806985020E-1,-2.914874256E-1,-4.365243018E-1,-1.429878473E0
5.005516270E-1,-3.301639259E-1,-3.853163421E-1,-1.315698981E0
5.204047520E-1,-3.601137698E-1,-3.672696352E-1,-1.273200274E0
5.402563140E-1,-3.956137896E-1,-3.404962718E-1,-1.211310863E0
5.601094390E-1,-4.377285838E-1,-3.042981625E-1,-1.132055402E0
5.799625640E-1,-4.859869182E-1,-2.650282383E-1,-1.051403761E0
5.998156890E-1,-5.456597209E-1,-1.989151686E-1,-9.061749578E-1
6.196672520E-1,-6.161710620E-1,-1.148426607E-1,-7.194770575E-1
6.395219390E-1,-6.813067198E-1,-3.218387067E-2,-5.431813598E-1
6.593735020E-1,-7.465645671E-1,4.782202095E-2,-3.940080702E-1
6.792250640E-1,-8.811818361E-1,1.749867052E-1,-1.540253013E-1
6.990781890E-1,-1.120396614E0,3.376339376E-1,8.895943314E-2
7.189313140E-1,-1.244768858E0,4.316897392E-1,2.232799679E-1
7.387828770E-1,-1.340482712E0,5.113640428E-1,3.563264310E-1
7.586360020E-1,-1.438605070E0,5.857150555E-1,4.838925302E-1
7.784891270E-1,-1.525208354E0,6.405009031E-1,5.603902936E-1
7.983422520E-1,-1.601025462E0,6.928957105E-1,6.625269651E-1
8.181938140E-1,-1.668779135E0,7.417125702E-1,7.987673879E-1
8.380531890E-1,-1.718870044E0,7.752752304E-1,9.205564857E-1
8.579000640E-1,-1.766465187E0,8.030259609E-1,1.009306431E0
8.777516270E-1,-1.773970127E0,8.073369265E-1,1.026497960E0
8.976047520E-1,-1.734386086E0,7.802843451E-1,1.006479025E0
9.174578770E-1,-1.689880133E0,7.528651953E-1,9.671393037E-1
9.373110020E-1,-1.687995195E0,7.561988235E-1,9.184969664E-1
9.571625640E-1,-1.751682281E0,7.997622490E-1,9.092467427E-1
9.770156890E-1,-1.763585448E0,8.094487786E-1,9.088103771E-1
9.968688140E-1,-1.701870561E0,7.629706860E-1,8.932071328E-1
1.016720377E0,-1.661850095E0,7.319037914E-1,8.724377155E-1
1.036573502E0,-1.702463984E0,7.726572752E-1,8.231845498E-1
1.056426627E0,-1.749936938E0,8.472700715E-1,7.062300444E-1
1.076278189E0,-1.754579544E0,8.816356063E-1,6.223844290E-1
1.096131314E0,-1.721802235E0,8.719141483E-1,5.846154690E-1
1.115984439E0,-1.666457772E0,8.304451108E-1,5.786988139E-1
1.135836002E0,-1.606610537E0,7.629532218E-1,6.087359190E-1
1.155689127E0,-1.560900331E0,6.908362508E-1,6.579018831E-1
1.175542252E0,-1.577829957E0,6.656162143E-1,7.050781250E-1
1.195395377E0,-1.636857033E0,6.762976050E-1,7.438593507E-1
1.215246939E0,-1.627275229E0,6.336767077E-1,7.610857487E-1
1.235100064E0,-1.596784234E0,5.564458966E-1,7.782074213E-1
1.254953189E0,-1.585893393E0,4.927937090E-1,8.009490371E-1
1.274804752E0,-1.574269533E0,4.455825686E-1,8.027293086E-1
1.294657877E0,-1.541631818E0,4.478165805E-1,7.567573190E-1
1.314511002E0,-1.486444592E0,5.164952874E-1,6.721612215E-1
1.334364127E0,-1.406752825E0,5.997126102E-1,5.788035393E-1
1.354215689E0,-1.305261970E0,6.638185382E-1,4.911705554E-1
1.374068814E0,-1.188604116E0,7.356562614E-1,4.030314386E-1
1.393921939E0,-1.056657195E0,8.192051649E-1,3.174753785E-1
1.413775064E0,-9.227381349E-1,9.058258533E-1,2.408379763E-1
1.433626627E0,-7.930252552E-1,9.947853088E-1,1.731541157E-1
1.453479752E0,-6.705206037E-1,1.077862978E0,1.177224591E-1
1.473332877E0,-5.709844828E-1,1.134865403E0,8.042477071E-2
1.493184439E0,-4.966159761E-1,1.169422984E0,5.984733999E-2
