"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.215731000E-2,7.118499875E-1,-1.960004717E-1,-1.217838407E0
3.200418500E-2,0.000000000E0,0.000000000E0,0.000000000E0
5.185731000E-2,3.874630900E-3,-3.291691095E-2,-1.923352852E-2
7.171043500E-2,2.661627159E-2,-9.721484035E-2,-5.846852809E-2
9.156199700E-2,5.656611919E-2,-1.719672978E-1,-1.060113013E-1
1.114151220E-1,7.612777352E-1,-2.247093916E0,-1.353607535E0
1.312729350E-1,6.369753480E-1,-1.849996686E0,-1.092715740E0
1.511213720E-1,5.643871427E-1,-1.590937376E0,-9.263160229E-1
1.709729350E-1,5.031784177E-1,-1.435009718E0,-7.956781387E-1
1.908260600E-1,5.215218067E-1,-1.481592536E0,-7.550469041E-1
2.106791850E-1,5.616818666E-1,-1.540026188E0,-7.320609093E-1
2.305307470E-1,5.315400362E-1,-1.363608241E0,-6.358758211E-1
2.503838720E-1,4.962145686E-1,-1.213998675E0,-5.556255579E-1
2.702369970E-1,3.913377225E-1,-9.250419736E-1,-3.859097362E-1
2.900885600E-1,3.240203857E-1,-7.404035926E-1,-2.754478753E-1
3.099416850E-1,2.732312977E-1,-6.041282415E-1,-1.978679746E-1
3.297948100E-1,2.304183692E-1,-5.049935579E-1,-1.430646330E-1
3.496479350E-1,1.848129183E-1,-4.110424817E-1,-1.001295373E-1
3.694994970E-1,1.427155733E-1,-3.270223439E-1,-6.808529049E-2
3.893526220E-1,1.210734919E-1,-2.849948108E-1,-5.895722285E-2
4.092057470E-1,1.145983189E-1,-2.738246918E-1,-6.504841894E-2
4.290573100E-1,1.082453206E-1,-2.646791935E-1,-6.770132482E-2
4.489104350E-1,9.300859272E-2,-2.168571651E-1,-6.393141299E-2
4.687619970E-1,6.902777404E-2,-9.573131055E-2,-7.904595882E-2
4.886151220E-1,4.953244328E-2,-1.616174914E-2,-8.487536013E-2
5.084666850E-1,3.324852139E-2,5.342452973E-2,-9.131562710E-2
5.283213720E-1,2.776818909E-2,9.880308807E-2,-1.079660654E-1
5.481729350E-1,2.816961333E-2,1.385791451E-1,-1.392598152E-1
5.680244970E-1,2.871066518E-2,1.908168495E-1,-1.679704934E-1
5.878776220E-1,2.982767671E-2,2.192482650E-1,-1.880243123E-1
6.077307470E-1,3.139847144E-2,2.284286916E-1,-1.970825791E-1
6.275901220E-1,2.888519876E-2,2.418328226E-1,-2.010619342E-1
6.474354350E-1,3.143338114E-2,2.466499358E-1,-2.085144818E-1
6.672885600E-1,4.564036056E-2,2.098234892E-1,-2.273989469E-1
6.871416850E-1,7.068583369E-2,1.425933987E-1,-2.544341087E-1
7.069948100E-1,9.206611663E-2,7.098253816E-2,-2.732836604E-1
7.268463720E-1,1.014210805E-1,1.706931926E-2,-2.766695917E-1
7.467010600E-1,1.005484164E-1,-1.162389293E-2,-2.657089233E-1
7.665510600E-1,9.649925679E-2,-2.684316412E-2,-2.487792373E-1
7.864041850E-1,8.393288404E-2,-2.635447122E-2,-2.245191485E-1
8.062588720E-1,7.869689912E-2,-4.056145251E-2,-2.104517967E-1
8.261104350E-1,7.637561113E-2,-6.028367206E-2,-2.016902417E-1
8.459635600E-1,7.394959778E-2,-8.693484962E-2,-2.001543641E-1
8.658151220E-1,8.335692436E-2,-1.414414793E-1,-2.171887755E-1
8.856682470E-1,9.379399568E-2,-1.954245120E-1,-2.389355749E-1
9.055213720E-1,1.040914357E-1,-2.456201911E-1,-2.669655681E-1
9.253729350E-1,1.015432552E-1,-2.626895010E-1,-2.800380886E-1
9.452260600E-1,9.436995536E-2,-2.510132492E-1,-2.933374941E-1
9.650791850E-1,8.210028708E-2,-2.140646279E-1,-3.109129667E-1
9.849323100E-1,7.265805453E-2,-1.677261442E-1,-3.308620751E-1
1.004783872E0,6.686356664E-2,-1.245816052E-1,-3.511427939E-1
1.024636997E0,6.269222498E-2,-1.068141535E-1,-3.748269081E-1
1.044488560E0,5.892231688E-2,-1.022413895E-1,-3.845309317E-1
1.064341685E0,5.166174471E-2,-9.585348517E-2,-3.773052692E-1
1.084194810E0,4.637339711E-2,-1.230108067E-1,-3.711268008E-1
1.104047935E0,1.677261479E-2,-1.213178337E-1,-3.312460482E-1
1.123905747E0,-8.756317198E-2,2.621484548E-2,-2.051459998E-1
1.143752622E0,-1.499237865E-1,8.494517207E-2,-1.263792962E-1
1.163605747E0,-1.842194945E-1,9.831439704E-2,-8.445648104E-2
1.183458872E0,-1.952325255E-1,7.977899909E-2,-7.866198570E-2
1.203310435E0,-1.841147840E-1,-1.150172018E-2,-8.457865566E-2
1.223163560E0,-1.682671905E-1,-1.309520602E-1,-7.984881103E-2
1.243015122E0,-1.535191536E-1,-2.404365540E-1,-8.326965570E-2
1.262868247E0,-1.604830176E-1,-3.041410744E-1,-7.801621407E-2
