"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.038053800E-2,0.000000000E0,0.000000000E0,0.000000000E0
9.015027700E-2,4.300194979E-2,-2.991580963E-2,-2.929944992E-1
1.099216310E-1,1.006339788E-1,8.683538437E-2,-6.904330254E-1
1.296914230E-1,-2.415287495E-2,2.274036407E-3,-4.323134422E-1
1.494627770E-1,-3.303897381E-2,2.640552521E-1,4.240231514E-1
1.692325170E-1,-7.115045786E-1,3.095612526E-1,6.870851517E-1
1.890039230E-1,-8.871724010E-1,4.272508621E-2,7.233386040E-1
2.087736630E-1,-1.159338355E0,2.017345428E-1,5.732741356E-1
2.285450690E-1,-9.198706150E-1,-9.092330933E-3,1.872124672E-1
2.483148080E-1,-8.635727763E-1,2.345533371E-1,-2.745680809E-1
2.680861630E-1,-1.987159133E0,3.017106056E-1,-1.679599285E0
2.878559540E-1,-9.379151464E-1,7.791948318E-2,-1.370052814E0
3.076273080E-1,6.999187469E-1,-2.551698685E-2,9.109354019E-1
3.273971000E-1,1.204268932E-1,9.946107864E-2,5.313539505E-1
3.471684540E-1,-2.943403721E-1,-1.991758347E-1,4.029512405E-2
3.669381940E-1,-4.161238670E-1,2.085256577E-1,3.241982460E-1
3.867096000E-1,-8.503111601E-1,3.577318192E-1,8.104562759E-2
4.064793400E-1,-1.109535694E0,4.307179451E-1,-1.948714256E-1
4.262506940E-1,5.176324248E-1,6.378431320E-1,-3.817124367E-1
4.460204850E-1,2.270657063E0,4.680948257E-1,1.457749844E0
4.657918400E-1,8.595440984E-1,4.472947121E-1,1.049601555E0
4.855615790E-1,5.120539665E-1,2.127985954E-1,-4.894762039E-1
5.053329850E-1,1.052132368E0,2.781291008E-1,-6.624221802E-3
5.251027250E-1,2.845460773E-1,6.820011139E-2,-5.718789101E-1
5.448740790E-1,3.534303904E-1,3.075170517E-2,-1.346398830E0
5.646438710E-1,1.359970093E0,2.527236938E-2,-1.396937370E0
5.844152250E-1,2.211533308E0,-6.441149712E-1,-1.438409328E0
6.041850170E-1,1.825690508E0,-3.842363358E-1,-8.293247223E-2
6.239563710E-1,2.625093222E0,-6.721210480E-1,9.199428558E-2
6.437261100E-1,3.214230776E0,-8.939194679E-1,-2.847995758E-1
6.634974650E-1,3.301835060E0,-5.048160553E-1,5.050592422E-1
6.832672560E-1,3.153954268E0,5.067114830E-1,-3.089671135E0
7.030386100E-1,3.611942291E0,-2.759395123E0,-3.843808174E-1
7.228084020E-1,2.902996302E0,-2.019067287E0,1.468944550E-1
7.425797560E-1,1.724505544E0,-1.328701019E0,3.346552372E0
7.623494960E-1,3.007529020E0,-3.324337721E0,4.415559769E0
7.821209020E-1,6.014074326E0,-3.936435223E0,-1.372273922E0
8.018906420E-1,3.349995613E0,-4.539778709E0,-4.051852226E-1
8.216619960E-1,3.252524137E0,-5.126378059E0,6.091167450E0
8.414317880E-1,3.516032219E0,-5.124347687E0,1.287142754E0
8.612031420E-1,2.941274405E0,-3.903676987E0,5.172038078E-1
8.809728810E-1,1.934327602E0,-3.070418358E0,2.037153244E0
9.007442880E-1,2.436738014E-1,-2.267341375E0,2.684375763E0
9.205140270E-1,1.179915667E0,-3.454476357E0,1.138668060E0
9.402853810E-1,1.775019169E0,-2.800369501E0,5.380048752E-1
9.600551730E-1,2.279808044E0,-1.635454655E0,-1.079439640E0
9.798265270E-1,1.564816236E0,-1.152137756E0,-2.124579906E0
9.995962670E-1,2.416427135E0,-1.713796616E0,-2.010630608E0
1.019367673E0,1.767660141E0,-3.139822960E0,-2.610240936E0
1.039137413E0,-1.700881958E0,-3.548076153E0,-4.835041046E0
1.058908767E0,-1.992352486E0,-3.528934002E0,-1.723901272E0
1.078678558E0,-2.359197617E0,-1.975702882E0,4.709882736E-1
1.098449913E0,-3.894621849E0,-9.530901909E-1,-9.270644188E-1
1.118219652E0,-4.413322449E0,-1.531769514E0,-3.026216030E0
1.137991058E0,-4.203932285E0,-2.126948118E0,-4.319622993E0
1.157760798E0,-5.832841396E0,-1.369685769E0,-4.208588123E0
1.177532152E0,-7.570284843E0,-1.434156418E0,-2.805248260E0
1.197301944E0,-6.990037918E0,-1.826180816E0,-2.488602638E0
1.217073298E0,-5.695508957E0,-2.495869398E0,-1.605630636E0
1.236843038E0,-5.487101078E0,-2.824948788E0,-6.544327736E-1
1.256614444E0,-7.129642010E0,-2.565490723E0,-9.035382271E-1
1.276384183E0,-8.042324066E0,-2.413029909E0,-3.929333687E-1
1.296155538E0,-7.873793602E0,-2.133748770E0,8.290419579E-1
1.315925329E0,-7.448795795E0,-1.267518044E0,1.942511797E0
1.335696683E0,-6.858247280E0,6.048479080E-1,3.440427780E0
1.355466423E0,-6.178040028E0,1.316027641E0,4.983373642E0
1.375237777E0,-5.534862518E0,3.210253716E-1,4.351370811E0
1.395007569E0,-6.456023693E0,-1.615180969E-1,5.743563175E-1
1.414778923E0,-7.309652328E0,1.386277199E0,-2.195946693E0
1.434548663E0,-6.621975899E0,2.513608932E0,-1.366108179E0
1.454320069E0,-4.964760303E0,3.731469870E0,5.824964046E-1
1.474089808E0,-3.153380394E0,3.641118526E0,1.768922329E0
1.493861163E0,-2.237720013E0,4.256859303E0,2.137873650E0
1.513630902E0,-2.237246037E0,3.784075737E0,2.493380785E0
1.533402308E0,-2.093626499E0,2.113762379E0,2.284925938E0
1.553172048E0,-1.557390213E0,1.253670216E0,2.145189285E0
1.572943402E0,-1.089926243E0,4.821472168E-1,2.384050369E0
1.592713142E0,-1.546547890E0,-1.073643208E0,2.928164482E0
1.612484548E0,-1.322287083E0,-5.691361427E-1,1.803930998E0
1.632254288E0,-8.752846718E-1,2.222819328E-1,-2.678685904E0
1.652025642E0,1.010982990E0,-6.868791580E-2,-4.621948242E0
1.671795433E0,6.583528042E0,-1.103857517E0,-3.223751545E0
1.691566788E0,6.921000481E0,-3.185749054E-3,-2.194288254E0
1.711336579E0,5.866079330E-1,1.697309971E0,2.578138351E0
1.731107933E0,-2.347151279E0,2.107610703E-1,-1.699685335E0
1.750877673E0,-3.615527630E0,-1.385283470E0,-7.117332458E0
1.770649079E0,-1.139584064E0,1.092416286E0,-7.948616505E0
1.790418819E0,-3.191724300E0,4.502558708E0,-4.458271503E0
1.810190173E0,-9.531318665E0,6.911160469E0,1.551969528E0
1.829959965E0,-9.561933517E0,4.466453075E0,4.309634209E0
1.849731319E0,-3.896665573E-2,1.106438637E0,1.133072567E1
1.869501110E0,-3.762221336E-1,-1.574083328E0,-4.820518017E0
1.889272465E0,2.511034966E0,-3.608360767E0,-8.234580994E0
1.909042204E0,1.932797432E-1,-9.198336601E-1,-6.687064648E0
1.928813610E0,1.448525429E0,-7.751760483E-1,2.849614024E-1
1.948583350E0,9.992804527E-1,5.275130272E-1,-3.206317425E0
1.968354756E0,1.241493225E-1,9.553680420E-1,-1.250868440E0
1.988124496E0,-6.278719902E-1,-9.751110077E-1,-3.408278227E-1
2.007895902E0,-1.067116261E0,-4.708735466E0,1.165756416E1
2.027665642E0,-1.445012093E-1,-3.303424835E0,2.837223053E0
2.047437048E0,-3.289203644E-1,-1.119828224E0,-1.736344099E0
2.067206788E0,1.164383888E-1,-7.328810692E-1,2.666260242E0
2.086978194E0,3.083376408E0,-1.665647030E0,1.140291810E0
2.106747933E0,2.647737503E0,-2.024881840E0,-9.334448576E-1
2.126519340E0,1.962637901E-1,-1.973283768E0,1.623548269E0
2.146289131E0,-2.023072243E-1,1.195259094E-1,-8.819062710E-1
2.166060485E0,4.452160835E0,6.801266670E-1,-2.078667879E-1
2.185830277E0,4.986576080E0,3.545457840E0,6.064293385E-1
2.205601631E0,3.698733807E0,3.300312996E0,6.735682011E0
2.225371423E0,8.097138405E0,5.266757011E-1,2.833024502E0
2.245142777E0,9.355361938E0,2.094882011E0,-6.212766171E-1
2.264912569E0,6.658597469E0,9.721312523E-1,2.035454512E0
2.284683975E0,-4.610681057E0,-3.014393806E0,1.911790133E0
2.304453715E0,-3.320504665E0,6.591162682E-1,5.705610275E0
2.324225121E0,1.520491982E1,5.754847050E0,-8.763965607E0
2.343994913E0,1.289985418E0,-1.631345272E0,-1.460410404E1
2.363766267E0,-1.497917557E1,-7.498371124E0,-6.253328800E0
2.383536058E0,-2.884044266E1,-7.777566910E0,-7.264966965E0
2.403307465E0,8.781900406E0,-4.848932266E0,8.328998566E0
2.423077256E0,1.822640419E1,-2.631176472E0,9.862583160E0
2.442848610E0,-8.809355736E0,3.621683121E-1,1.267728329E1
2.462618402E0,-6.390438080E-1,-2.722389221E0,1.512940049E0
2.482389808E0,-1.698015690E0,-1.075566769E0,5.067522049E0
2.502159600E0,-7.638404846E0,-3.833341599E-1,4.202199459E0
2.521931006E0,-1.138397026E1,-7.481784821E-1,-4.028940678E0
2.541700798E0,-7.001018524E-2,-2.499054909E0,-1.095915699E1
2.561472152E0,3.809749603E0,-4.277908325E0,-5.512890816E0
2.581241944E0,1.384310722E0,-1.511682510E0,2.440886974E0
2.601013350E0,3.466745853E0,1.150341988E0,-4.743957520E0
2.620783142E0,6.914381981E0,7.553534508E-1,-1.044925690E1
2.640554548E0,1.102602959E1,-2.316083908E-1,-5.268854618E0
2.660324340E0,9.235901833E0,-1.300178051E0,5.742743611E-1
2.680095694E0,7.620817661E0,-2.381613731E0,-7.292708158E-1
2.699865485E0,3.737668991E-1,-2.376852512E0,1.707543373E0
2.719636892E0,-7.386268139E0,-9.685239792E-1,2.994692326E0
2.739406683E0,-3.089312553E0,-8.979554176E-1,-5.730688572E0
2.759178090E0,-5.512707233E0,-6.275033951E-1,-3.156195879E0
2.778947881E0,-2.157948494E0,7.350306511E-1,-1.937294722E0
2.798719288E0,1.995401859E0,6.642971039E-1,-8.527853489E-1
2.818489079E0,1.526283264E0,1.735215664E0,-1.730100632E0
2.838260485E0,1.292228699E0,2.916572571E0,-1.887722492E0
2.858030277E0,3.111931801E0,4.574175358E0,-1.170034170E0
2.877801683E0,3.050245285E0,6.028498650E0,7.219003439E-1
2.897571475E0,1.129630566E0,4.460237980E0,9.752787352E-1
2.917342881E0,-6.548204422E-1,3.247056961E0,-2.101634502E0
2.937112673E0,-2.427065849E0,1.166731834E0,-9.062770605E-1
2.956884079E0,-2.439201832E0,3.700704575E-1,2.523617029E0
