"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.476488580E-1,-9.643751383E-2,1.547734290E-1,-1.504211407E-2
1.665460970E-1,-1.025459841E-1,1.987544298E-1,8.399150101E-4
1.854433890E-1,-8.849649876E-2,1.993652731E-1,2.344126441E-2
2.043406810E-1,-5.734328553E-2,1.395022422E-1,2.954973653E-2
2.232379200E-1,-2.802261710E-2,6.620056927E-2,3.260397166E-2
2.421352120E-1,-2.977880416E-3,3.199312463E-2,4.054498672E-2
2.610325040E-1,1.229330152E-2,5.642701685E-2,5.215108395E-2
2.799297430E-1,1.473669056E-2,8.574768156E-2,4.970769584E-2
2.988270350E-1,2.206685767E-2,9.491039068E-2,3.932329267E-2
3.177243270E-1,2.328855172E-2,8.025006205E-2,4.787515476E-2
3.366215660E-1,5.573981442E-3,8.147175610E-2,7.169819623E-2
3.555188580E-1,-2.619007602E-2,1.046839505E-1,9.857547283E-2
3.744161500E-1,-3.046600707E-2,1.223985180E-1,1.193442866E-1
3.933134410E-1,-2.008160390E-2,1.572168171E-1,1.352263093E-1
4.122106810E-1,-2.802261710E-2,2.128039151E-1,1.559951156E-1
4.311079720E-1,-2.008160390E-2,2.433462739E-1,1.761530787E-1
4.500052640E-1,6.795675959E-3,2.201340795E-1,1.694337577E-1
4.689025560E-1,1.901262067E-2,2.396811992E-1,1.242310628E-1
4.877998470E-1,1.168245357E-2,2.372378111E-1,7.963921130E-2
5.066970870E-1,2.634278871E-2,1.663795263E-1,3.565821052E-2
5.255943790E-1,6.543701142E-2,1.254527569E-1,-2.214321401E-3
5.444916700E-1,7.582141459E-2,1.883700192E-1,-1.137703005E-2
5.633889620E-1,4.711159319E-2,2.335727215E-1,-1.687465608E-2
5.822862540E-1,4.772244394E-2,1.175117418E-1,-4.130854458E-2
6.011834930E-1,7.887565345E-2,-5.108210072E-2,-9.506310523E-2
6.200807850E-1,8.742751181E-2,-1.323247850E-1,-1.298813969E-1
6.389780770E-1,8.620581776E-2,-9.078717232E-2,-1.500393599E-1
6.578753680E-1,6.238277629E-2,-9.323056042E-2,-1.781383306E-1
6.767726600E-1,4.352286924E-3,-5.413633958E-2,-1.769166440E-1
6.956699520E-1,-8.422056586E-2,9.429954737E-2,-1.494285166E-1
7.145672430E-1,-1.514137685E-1,2.415137291E-1,-1.323247850E-1
7.334644830E-1,-1.275907159E-1,1.333937645E-1,-1.237729266E-1
7.523617750E-1,-4.146125913E-2,1.916533336E-2,-8.712209016E-2
7.712590660E-1,8.628217503E-3,1.450762269E-3,-3.642176837E-2
7.901563580E-1,-5.421269219E-3,8.399150101E-4,1.366770733E-2
8.090536500E-1,-3.535278514E-2,4.359922186E-2,7.108735293E-2
8.279509410E-1,-2.863346599E-2,1.162900478E-1,1.138466597E-1
8.468482330E-1,8.017370477E-3,1.486649513E-1,1.223985180E-1
8.657455250E-1,2.084516361E-2,1.847049445E-1,1.181225851E-1
8.846428160E-1,1.473669056E-2,9.307785332E-2,6.925480813E-2
9.035401080E-1,8.681666851E-2,-1.970745921E-1,-1.198787708E-2
9.224374000E-1,2.566322088E-1,-4.707341790E-1,-6.207735091E-2
9.413346910E-1,3.702498078E-1,-6.399388313E-1,-4.314108938E-2
9.602319310E-1,3.861318231E-1,-6.069530845E-1,3.565821052E-2
9.791292220E-1,3.641413152E-1,-3.528406620E-1,7.108735293E-2
9.980265140E-1,3.048891425E-1,-8.101361990E-2,4.482091591E-2
1.016923806E0,1.760003716E-1,9.918632358E-2,1.550024934E-2
1.035821097E0,2.145601064E-2,1.572168171E-1,3.138227761E-2
1.054718389E0,-6.345175952E-2,1.486649513E-1,5.398362502E-2
1.073615681E0,-8.055548370E-2,6.558972597E-2,4.359922186E-2
1.092512972E0,-4.695888236E-2,-6.024480984E-2,2.099787444E-2
1.111410264E0,8.017370477E-3,-1.127776727E-1,3.894151188E-3
1.130307556E0,5.749600008E-2,-1.323247850E-1,-3.436015919E-3
1.149204847E0,8.315158635E-2,-1.256054640E-1,-1.870719716E-2
1.168102139E0,7.826480269E-2,-7.979192585E-2,-3.275668249E-2
1.186999431E0,1.107160654E-2,-2.786990628E-2,-3.825430945E-2
1.205896722E0,-9.399411827E-2,-3.825430945E-2,-2.176143415E-2
1.224794014E0,-1.282015741E-1,-1.078908965E-1,1.450762269E-3
