"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.476488580E-1,1.202435493E-1,4.370832443E-2,2.196340561E-1
1.665460970E-1,1.299102306E-1,-3.103232384E-2,1.532716751E-1
1.854433890E-1,6.914830208E-2,-8.690524101E-2,6.254482269E-2
2.043406810E-1,9.632492065E-2,-9.994506836E-3,3.643131256E-2
2.232379200E-1,1.172516346E-1,1.136255264E-2,1.179580688E-1
2.421352120E-1,9.530329704E-2,-2.235293388E-2,1.910505295E-1
2.610325040E-1,-7.586240768E-3,-7.257318497E-2,2.006015778E-1
2.799297430E-1,3.444647789E-2,-6.702613831E-2,-5.722045898E-4
2.988270350E-1,5.119299889E-2,-7.496261597E-2,-3.812980652E-2
3.177243270E-1,-2.079010010E-4,-3.375792503E-2,-1.926422119E-2
3.366215660E-1,-3.589391708E-2,-2.084732056E-2,-5.862426758E-2
3.555188580E-1,4.718470573E-2,3.534960747E-2,-2.879047394E-2
3.744161500E-1,1.250176430E-1,1.033236980E-1,2.033634186E-1
3.933134410E-1,6.807565689E-2,4.241561890E-2,3.231706619E-1
4.122106810E-1,-8.430290222E-2,-1.469714642E-1,1.472330093E-1
4.311079720E-1,-5.245888233E-2,-1.437358856E-1,1.164588928E-1
4.500052640E-1,4.054689407E-2,2.069854736E-2,1.195325851E-1
4.689025560E-1,1.831822395E-1,7.806611061E-2,-5.768775940E-2
4.877998470E-1,1.869730949E-1,-6.192946434E-2,-2.298173904E-1
5.066970870E-1,2.551206350E-1,4.075503349E-2,-8.445644379E-2
5.255943790E-1,2.473809719E-1,1.454503536E-1,1.803617477E-1
5.444916700E-1,1.730241776E-1,-1.147997379E-1,2.197389603E-1
5.633889620E-1,1.763980389E-1,-1.904017925E-1,-5.855274200E-2
5.822862540E-1,2.612438202E-1,1.950335503E-2,-1.453084946E-1
6.011834930E-1,2.838205099E-1,6.270694733E-2,4.153442383E-2
6.200807850E-1,2.227507830E-1,-1.942815781E-1,-1.758861542E-2
6.389780770E-1,2.458975315E-1,-9.374499321E-2,3.196182251E-1
6.578753680E-1,1.515016556E-1,-3.523921967E-2,1.328763962E-1
6.767726600E-1,-9.649753571E-3,-8.704066277E-2,-1.296043396E-2
6.956699520E-1,-3.124642372E-2,-5.661535263E-2,-8.999252319E-2
7.145672430E-1,1.148731709E-1,2.170014381E-2,-6.891727448E-2
7.334644830E-1,-7.483422756E-2,2.442655563E-1,-1.268148422E-1
7.523617750E-1,-2.863239050E-1,3.583102226E-1,6.188869476E-2
7.712590660E-1,-3.184152842E-1,2.118630409E-1,-2.072238922E-2
7.901563580E-1,-3.940780163E-1,1.621558666E-1,-1.615419388E-1
8.090536500E-1,-2.342787981E-1,5.607128143E-2,-1.178846359E-1
8.279509410E-1,6.245613098E-3,-4.631018639E-2,6.598091125E-2
8.468482330E-1,4.698431492E-2,-1.462674141E-2,1.344966888E-2
8.657455250E-1,-2.151525021E-1,-4.417276382E-2,-1.834211349E-1
8.846428160E-1,-4.579197168E-1,-8.246827126E-2,-4.222049713E-1
9.035401080E-1,-3.660445213E-1,-1.038093567E-1,-3.001489639E-1
