"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.623288900E-2,-1.449670494E-1,1.231504306E-1,1.813397110E-1
3.608601400E-2,0.000000000E0,0.000000000E0,0.000000000E0
5.593757600E-2,-2.942276001E-1,3.931005001E-1,-3.982317746E-1
7.579070100E-2,-4.349884093E-1,3.973940015E-1,-3.212627470E-1
9.564382600E-2,-4.409050643E-1,3.344399929E-1,-2.981720567E-1
1.154953890E-1,-3.003188074E-1,2.861467302E-1,-4.534365237E-1
1.353485140E-1,-1.163261905E-1,3.265161812E-1,-7.516784072E-1
1.552032010E-1,-4.283038154E-2,4.006927013E-1,-9.164200425E-1
1.750547640E-1,-3.228859045E-3,4.706978500E-1,-1.017963290E0
1.949125760E-1,-1.221730467E-2,5.333900452E-1,-1.027580023E0
2.147594510E-1,-1.949532703E-2,5.767964125E-1,-9.867393374E-1
2.346125760E-1,8.559094369E-2,6.439043283E-1,-1.044492245E0
2.544657010E-1,1.940980703E-1,7.243814468E-1,-1.095665336E0
2.743188260E-1,2.705958486E-1,7.958003283E-1,-1.098737121E0
2.941703890E-1,2.624277174E-1,8.205665350E-1,-9.965829849E-1
3.140219510E-1,1.763829738E-1,8.034971952E-1,-8.107926846E-1
3.338766390E-1,7.588691264E-2,7.588866353E-1,-5.903052688E-1
3.537282010E-1,-1.155582517E-1,6.416004896E-1,-2.593733668E-1
3.735813260E-1,-2.277829200E-1,5.457469821E-1,-3.499384969E-2
3.934328890E-1,-2.104517967E-1,5.425181389E-1,1.495747175E-2
4.132860140E-1,-2.593733668E-1,4.787787199E-1,1.499586850E-1
4.331391390E-1,-1.372474551E0,-3.813718855E-1,1.318351865E0
4.529907010E-1,-7.294010162E0,-4.830320835E0,6.674348354E0
4.728438260E-1,-7.962907791E0,-5.287387848E0,7.123456478E0
4.926969510E-1,-7.870370388E0,-5.185757160E0,6.923529148E0
5.125500760E-1,-7.434666157E0,-4.818382740E0,6.435482502E0
5.324016390E-1,-6.885760307E0,-4.374336243E0,5.864341259E0
5.522594510E-1,-6.267302990E0,-3.871367216E0,5.198358536E0
5.721063260E-1,-5.594356060E0,-3.307084799E0,4.457553387E0
5.919594510E-1,-5.303025723E0,-3.090873480E0,4.039599419E0
6.118172640E-1,-5.065713406E0,-2.927981853E0,3.739647150E0
6.316657010E-1,-4.752566338E0,-2.695346832E0,3.406463861E0
6.515172640E-1,-4.482825756E0,-2.499765158E0,3.103527069E0
6.713703890E-1,-4.542480946E0,-2.516886950E0,2.963010550E0
6.912235140E-1,-4.573251247E0,-2.515351057E0,2.806751251E0
7.110750760E-1,-4.458391190E0,-2.409880877E0,2.587188721E0
7.309282010E-1,-4.223487377E0,-2.218069077E0,2.320013762E0
7.507813260E-1,-3.849567890E0,-1.891971827E0,1.986289382E0
7.706328890E-1,-3.340682268E0,-1.454487562E0,1.630940318E0
7.904860140E-1,-2.859425306E0,-1.058995962E0,1.336259007E0
8.103391390E-1,-2.363350391E0,-6.406754851E-1,1.063010216E0
8.301922640E-1,-2.012713671E0,-3.751410544E-1,8.769406676E-1
8.500438260E-1,-1.696268082E0,-1.250179410E-1,7.131240964E-1
8.698969510E-1,-1.349977255E0,1.634675413E-1,5.464451313E-1
8.897500760E-1,-1.046656489E0,4.104665220E-1,3.956661522E-1
9.096032010E-1,-8.318937421E-1,5.494296551E-1,2.881363928E-1
9.294547640E-1,-7.191978097E-1,5.966756940E-1,2.063153684E-1
9.493078890E-1,-6.403787732E-1,6.141639352E-1,1.322959512E-1
9.691610140E-1,-5.254837275E-1,6.717073917E-1,5.176646635E-2
