"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.060913100E-2,-2.118112892E-1,4.656183124E-1,5.115845799E-2
7.038053800E-2,-1.391204596E-1,2.499892414E-1,5.787777901E-2
9.015027700E-2,-2.447970361E-1,2.860292196E-1,5.299099907E-2
1.099216310E-1,-4.323271513E-1,5.450284481E-1,4.016320780E-2
1.296914230E-1,-5.270084739E-1,7.606575489E-1,3.894151375E-2
1.494627770E-1,-4.781406820E-1,5.535803437E-1,9.009997360E-3
1.692325170E-1,-4.353813827E-1,6.464291215E-1,2.733541466E-2
1.890039230E-1,-4.030064642E-1,1.099677801E0,1.214058921E-1
2.087736630E-1,-3.077143133E-1,1.103342891E0,2.632751763E-1
2.285450690E-1,-2.692309320E-1,9.506310225E-1,2.333436459E-1
2.483148080E-1,-4.549284875E-1,9.475768209E-1,2.418955117E-1
2.680861630E-1,-8.232693672E-1,6.299362183E-1,3.011476994E-1
2.878559540E-1,-9.069554806E-1,1.046075895E-1,1.722589284E-1
3.076273080E-1,-5.661026835E-1,-4.810422286E-2,5.848862603E-2
3.273971000E-1,-4.023956358E-1,1.786728203E-2,1.165191159E-1
3.471684540E-1,-3.388675153E-1,1.840177327E-1,2.009687424E-1
3.669381940E-1,-3.419217467E-1,4.075878263E-1,2.718270421E-1
3.867096000E-1,-4.396573007E-1,4.485146105E-1,3.463504016E-1
4.064793400E-1,-5.673243999E-1,3.361186981E-1,4.202629030E-1
4.262506940E-1,-6.131379604E-1,1.583621502E-1,2.559449971E-1
4.460204850E-1,-3.315373361E-1,1.803526580E-1,-6.261184346E-3
4.657918400E-1,-1.831014603E-1,3.226800561E-1,-6.795676053E-2
4.855615790E-1,-2.386885732E-1,2.878617644E-1,-1.278197914E-1
5.053329850E-1,-1.837123185E-1,-7.803573459E-2,-1.687465608E-1
5.251027250E-1,-3.529170156E-1,-3.785725832E-1,-1.088835225E-1
5.448740790E-1,-7.511894107E-1,-2.148655206E-1,-8.750387281E-2
5.646438710E-1,-1.192831993E0,2.548760176E-1,-2.347180545E-1
5.844152250E-1,-1.500699043E0,3.709369898E-1,-3.868190348E-1
6.041850170E-1,-1.330272675E0,-7.131642103E-2,-2.878617644E-1
6.239563710E-1,-9.173398614E-1,-5.037962794E-1,-1.363716573E-1
6.437261100E-1,-6.082511544E-1,-5.606050491E-1,-3.436015919E-2
6.634974650E-1,1.962346882E-1,5.419742465E-1,2.968717813E-1
6.832672560E-1,7.081246972E-1,2.067870617E0,9.779664874E-1
7.030386100E-1,1.035080671E0,2.733694077E0,1.191763043E0
7.228084020E-1,1.730224848E0,3.044615507E0,1.711593986E0
7.425797560E-1,2.628781080E0,2.166217089E0,2.049392462E0
7.623494960E-1,2.212794304E0,1.347681761E0,1.114185452E0
7.821209020E-1,1.341725945E0,2.775842667E0,2.925958335E-1
8.018906420E-1,4.790569544E-1,2.216306686E0,1.330119967E-1
8.216619960E-1,-2.142546773E-1,1.124111652E0,-2.817533016E-1
8.414317880E-1,-5.013529062E-1,1.617065430E0,-8.419002295E-1
8.612031420E-1,-4.504998401E-2,2.180877447E0,-1.232231617E0
8.809728810E-1,8.632798791E-1,1.857128382E0,-1.355622768E0
9.007442880E-1,1.835290551E0,1.027597785E0,-1.242005229E0
9.205140270E-1,2.092457294E0,7.062921524E-1,-1.632336617E0
