"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.215731000E-2,2.726599932E0,-4.878999889E-1,7.206999660E-1
3.200418500E-2,2.677299976E0,-2.224999964E-1,4.561999738E-1
5.185731000E-2,1.989299893E0,-7.639999688E-2,-1.409199953E0
7.171043500E-2,8.402999640E-1,-1.768999994E-1,-2.183899879E0
9.156199700E-2,1.855999976E-1,-8.039999753E-2,-2.058699846E0
1.114151220E-1,1.604000032E-1,-1.517999917E-1,-4.836999774E-1
1.312729350E-1,1.256999969E-1,1.097999960E-1,1.750899911E0
1.511213720E-1,7.369999886E-1,1.101499915E0,1.529799938E0
1.709729350E-1,6.678000093E-1,1.787799954E0,-1.389299989E0
1.908260600E-1,4.241999984E-1,1.550300002E0,-8.632999659E-1
2.106791850E-1,2.199999988E-2,1.014500022E0,1.647599936E0
2.305307470E-1,-1.614999920E-1,4.161999822E-1,3.223799944E0
2.503838720E-1,6.988999844E-1,8.652999997E-1,2.899699926E0
2.702369970E-1,7.719999552E-1,1.538299918E0,1.426499963E0
2.900885600E-1,6.111999750E-1,1.689799905E0,2.903999984E-1
3.099416850E-1,1.569999903E-1,1.209499955E0,-1.266999990E-1
3.297948100E-1,-5.791000128E-1,5.860999823E-1,6.583999991E-1
3.496479350E-1,-6.391999722E-1,4.879999906E-2,6.857999563E-1
3.694994970E-1,-2.053999901E-1,4.329999909E-2,-9.160000086E-2
3.893526220E-1,-5.636999607E-1,-1.163999960E-1,-1.059999943E0
4.092057470E-1,-1.038499951E0,-9.229999781E-1,-1.311100006E0
4.290573100E-1,-1.859599948E0,-1.672299981E0,-1.469999999E-1
4.489104350E-1,-1.477499962E0,-1.899699926E0,3.740999997E-1
4.687619970E-1,5.386999846E-1,-9.411999583E-1,-8.618999720E-1
4.886151220E-1,1.054499984E0,-1.688999981E-1,-1.342599988E0
5.084666850E-1,1.887999922E-1,8.760000020E-2,-9.056999683E-1
5.283213720E-1,-1.250199914E0,5.801999569E-1,5.781999826E-1
5.481729350E-1,-1.740599990E0,1.088999987E0,1.992199898E0
5.680244970E-1,-4.448999763E-1,1.787699938E0,1.493399978E0
5.878776220E-1,3.199999928E-1,2.273000002E0,3.287999928E-1
6.077307470E-1,-1.744000018E-1,2.138799906E0,2.730000019E-2
6.275901220E-1,-3.438999951E-1,2.419600010E0,1.227100015E0
6.474354350E-1,4.989999831E-1,2.574599981E0,1.101999998E0
6.672885600E-1,1.462999940E0,2.412099838E0,8.610000014E-1
6.871416850E-1,2.138799906E0,1.806100011E0,5.105999708E-1
7.069948100E-1,1.594399929E0,1.082700014E0,-1.798999906E-1
7.268463720E-1,7.610999942E-1,2.771999836E-1,-9.914000034E-1
7.467010600E-1,3.215999901E-1,-4.403999746E-1,-1.525099993E0
7.665510600E-1,1.789999940E-2,-1.281399965E0,-1.375000000E0
7.864041850E-1,-4.649999738E-2,-1.788599968E0,-6.378999949E-1
8.062588720E-1,-3.425000012E-1,-2.307699919E0,3.486000001E-1
8.261104350E-1,-9.788999557E-1,-2.302799940E0,7.371999621E-1
8.459635600E-1,-9.110999703E-1,-1.786399961E0,4.079999924E-1
8.658151220E-1,-6.347999573E-1,-1.183499932E0,-4.669999704E-2
8.856682470E-1,-3.490999937E-1,-8.978999853E-1,-6.577999592E-1
9.055213720E-1,-1.908999979E-1,-9.627999663E-1,-9.813999534E-1
9.253729350E-1,-8.622999787E-1,-1.159999967E0,-9.536999464E-1
9.452260600E-1,-1.398100019E0,-1.252699971E0,-2.049999870E-2
9.650791850E-1,-1.172999978E0,-7.706999779E-1,7.312999964E-1
9.849323100E-1,-8.939999938E-1,-1.564999968E-1,8.107999563E-1
1.004783872E0,1.915999949E-1,5.042999983E-1,-4.769999906E-2
1.024636997E0,5.993999839E-1,3.874000013E-1,-1.104699969E0
1.044488560E0,-1.297999918E-1,5.381000042E-1,9.885999560E-1
1.064341685E0,-6.065999866E-1,5.034999847E-1,3.806199789E0
1.084194810E0,2.575999796E-1,7.238000035E-1,5.394499779E0
1.104047935E0,1.323599935E0,1.683599949E0,4.106899738E0
1.123905747E0,2.004699945E0,2.587699890E0,1.880399942E0
1.143752622E0,2.117199898E0,2.847499847E0,-1.248999983E-1
1.163605747E0,1.329699993E0,1.835699916E0,-6.904999614E-1
1.183458872E0,-3.813999891E-1,-8.359999955E-2,-5.893999934E-1
1.203310435E0,-1.261199951E0,-9.845999479E-1,-5.457999706E-1
1.223163560E0,-1.572600007E0,-1.375800014E0,-9.370999932E-1
1.243015122E0,-1.231199980E0,-1.761999965E0,-1.506500006E0
1.262868247E0,-2.962000072E-1,-1.952399969E0,-2.008699894E0
1.282721372E0,5.537999868E-1,-2.112299919E0,-2.285699844E0
1.302574497E0,8.127999902E-1,-2.206699848E0,-2.330600023E0
1.322426060E0,5.108999610E-1,-1.979599953E0,-1.924799919E0
1.342279185E0,1.589999907E-2,-1.525099993E0,-5.284999609E-1
1.362132310E0,-4.657000005E-1,-1.203299999E0,1.513199925E0
1.381983872E0,-4.289000034E-1,-1.044099927E0,1.721099973E0
1.401836997E0,-2.189999968E-1,-8.353999853E-1,-9.429999590E-1
1.421690122E0,1.070999950E-1,-2.116999924E-1,-3.905200005E0
1.441543247E0,-6.599999964E-2,9.188999534E-1,-2.086699963E0
1.461394810E0,-6.829999685E-1,1.408699989E0,2.209599972E0
1.481247935E0,-7.102999687E-1,1.426399946E0,4.018199921E0
1.501101060E0,-1.916999966E-1,1.724399924E0,3.461999893E0
1.520952622E0,1.714800000E0,2.475600004E0,2.371899843E0
1.540805747E0,4.242799759E0,3.129099846E0,1.912699938E0
1.560657310E0,3.587099791E0,2.742300034E0,1.792599916E0
1.580510435E0,1.089499950E0,1.609699965E0,1.885599971E0
1.600363560E0,-9.839999676E-1,9.860000014E-1,2.460999966E0
1.620222935E0,-1.333599925E0,6.601999998E-1,2.409600019E0
1.640068247E0,-4.018999934E-1,4.494999945E-1,2.795099974E0
1.659921372E0,6.488999724E-1,3.395999968E-1,3.277999878E0
1.679774497E0,1.099699974E0,-1.782999933E-1,1.479900002E0
1.699627622E0,6.802999973E-1,-3.822000027E-1,-1.366699934E0
1.719479185E0,2.069999874E-1,-9.384999871E-1,-3.332999945E0
1.739330747E0,-3.093999922E-1,-1.507900000E0,-3.473299980E0
1.759185435E0,-5.171999931E-1,-1.775900006E0,-2.276000023E0
1.779036997E0,-4.800999761E-1,-1.640299916E0,-3.755999804E-1
