"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.623288900E-2,-7.964499950E0,-6.340999603E0,-1.413399935E0
3.608601400E-2,-6.225299835E0,-6.252099991E0,-3.800599813E0
5.593757600E-2,-3.989099979E0,-4.012799740E0,-3.169999838E0
7.579070100E-2,-1.628700018E0,-1.961199999E0,-9.258999825E-1
9.564382600E-2,1.569999903E-1,-1.029399991E0,1.278800011E0
1.154953890E-1,-8.749999851E-2,-1.204699993E0,1.075699925E0
1.353485140E-1,-3.768999875E-1,-1.529199958E0,-1.318999976E-1
1.552032010E-1,-8.022999763E-1,-1.110100031E0,-9.042999744E-1
1.750547640E-1,-1.549099922E0,-8.797000051E-1,-8.611999750E-1
1.949125760E-1,-1.446399927E0,-3.060999811E-1,7.329999655E-2
2.147594510E-1,-1.315299988E0,-8.739999682E-2,1.314399958E0
2.346125760E-1,-1.067600012E0,-5.217999816E-1,1.533199906E0
2.544657010E-1,-1.156599998E0,-6.302999854E-1,9.427999854E-1
2.743188260E-1,-1.609399915E0,-5.828999877E-1,-2.225999981E-1
2.941703890E-1,-1.939899921E0,-4.350000024E-1,-9.582999945E-1
3.140219510E-1,-2.362900019E0,3.294000030E-1,1.050999984E-1
3.338766390E-1,-2.757499933E0,8.944999576E-1,-7.649999857E-2
3.537282010E-1,-1.426599979E0,5.803999901E-1,9.695000052E-1
3.735813260E-1,-9.307999611E-1,5.266999602E-1,1.106199980E0
3.934328890E-1,-1.261899948E0,1.008599997E0,2.669000030E-1
4.132860140E-1,-4.170999825E-1,1.154500008E0,-6.703000069E-1
4.331391390E-1,-3.814999759E-1,8.637999892E-1,-1.509499907E0
4.529907010E-1,-4.691999853E-1,3.483999968E-1,-1.093999982E0
4.728438260E-1,4.573999941E-1,-4.854999781E-1,-1.045099974E0
4.926969510E-1,9.455999732E-1,-6.391999722E-1,-1.046199918E0
5.125500760E-1,9.659999609E-1,-7.150999904E-1,-5.421000123E-1
5.324016390E-1,2.700000048E0,-1.699499965E0,-3.741999865E0
5.522594510E-1,2.554100037E0,-1.866799951E0,-3.434000015E0
5.721063260E-1,3.339599848E0,-1.837899923E0,-8.389999717E-2
5.919594510E-1,3.680399895E0,4.844999909E-1,2.670899868E0
6.118172640E-1,9.280999899E-1,1.699999906E-3,1.061900020E0
6.316657010E-1,-1.314499974E0,-1.032999977E-1,1.498999894E-1
6.515172640E-1,-2.744899988E0,1.016199946E0,7.938999534E-1
6.713703890E-1,-1.924999952E0,-2.313999981E-1,-1.310999990E-1
6.912235140E-1,-1.365000010E-1,-6.269999593E-2,3.594999909E-1
7.110750760E-1,1.764799953E0,3.296000063E-1,7.727999687E-1
7.309282010E-1,1.122599959E0,-1.043399930E0,-8.588999510E-1
7.507813260E-1,6.882999539E-1,1.493699908E0,-2.113000005E-1
7.706328890E-1,-1.804499984E0,-6.793000102E-1,6.541999578E-1
7.904860140E-1,-2.486199856E0,-5.543999672E-1,-1.626899958E0
8.103391390E-1,-1.454499960E0,-8.529999852E-1,8.429999948E-1
8.301922640E-1,-2.242999971E-1,-8.700999618E-1,-4.602999985E-1
8.500438260E-1,3.170000017E-1,-2.877999842E-1,-6.917999983E-1
8.698969510E-1,8.999999762E-1,-2.417999983E0,3.323999941E-1
8.897500760E-1,-1.087999940E0,-3.083099842E0,1.807699919E0
9.096032010E-1,-8.948999643E-1,-1.073099971E0,1.100000024E0
9.294547640E-1,-1.079800010E0,-2.113000005E-1,1.377999932E-1
9.493078890E-1,-9.519999623E-1,6.649999619E-1,-4.831999838E-1
9.691610140E-1,-4.156000018E-1,5.464000106E-1,-1.926099896E0
9.890125760E-1,-4.439999759E-1,7.736999989E-1,-1.250399947E0
1.008865701E0,-1.431999952E-1,3.089999855E-1,-8.042999506E-1
1.028718826E0,2.122000009E-1,7.289999723E-2,4.789999872E-2
1.048571951E0,5.514999628E-1,-1.475999951E-1,3.116999865E-1
1.068423514E0,9.012999535E-1,-6.216999888E-1,9.089999795E-1
1.088276639E0,9.566999674E-1,-6.028999686E-1,3.472299814E0
1.108129764E0,4.034000039E-1,-2.680999935E-1,1.740199924E0
1.127981326E0,8.740999699E-1,-3.721999824E-1,1.262799978E0
1.147834451E0,7.889999747E-1,-3.064999878E-1,1.204199910E0
1.167687576E0,-1.999999949E-4,-9.365999699E-1,7.319999933E-1
1.187539139E0,-3.390799999E0,-4.869999886E-1,-8.989999890E-1
1.207392264E0,-3.669099808E0,-6.500999928E-1,-2.622699976E0
1.227245389E0,-2.064899921E0,-1.042599916E0,-3.970199823E0
1.247096951E0,-1.774500012E0,-1.931199908E0,-4.042599678E0
1.266950076E0,-3.009099960E0,-1.993399978E0,-1.450199962E0
1.286803201E0,-2.840699911E0,-3.492999971E-1,-5.144000053E-1
1.306654764E0,3.421999812E-1,2.978000045E-1,6.309999824E-1
1.326507889E0,2.374099970E0,-6.032999754E-1,3.790999949E-1
1.346361014E0,4.557300091E0,-1.243999973E-1,1.466300011E0
1.366214139E0,4.792299747E0,1.403299928E0,2.867499828E0
1.386065701E0,2.110899925E0,2.083799839E0,3.330299854E0
1.405917264E0,-4.643999934E-1,1.845399976E0,1.881299973E0
1.425771951E0,-1.809399962E0,9.872999787E-1,-9.161999822E-1
1.445625076E0,-2.808099985E0,-8.247999549E-1,-2.172800064E0
1.465475076E0,-2.225999832E0,-2.388900042E0,-1.563599944E0
1.485328201E0,-1.162999988E0,-2.382099867E0,-7.469999790E-1
1.505181326E0,4.007000029E-1,-1.134899974E0,6.796000004E-1
1.525034451E0,7.369999588E-2,-5.794000030E-1,7.591999769E-1
1.544887576E0,-6.313999891E-1,-5.076999664E-1,5.634999871E-1
1.564739139E0,-8.933999538E-1,-5.573999882E-1,2.072999924E-1
1.584592264E0,-5.644999743E-1,-7.549999952E-1,-1.539999992E-1
1.604443826E0,4.299999680E-3,-5.500000119E-1,-1.810999960E-1
1.624296951E0,4.787999988E-1,2.479999885E-2,-8.089999855E-2
1.644150076E0,6.657999754E-1,8.254999518E-1,1.603000015E-1
1.664001639E0,5.615999699E-1,1.495199919E0,5.076999664E-1
1.683854764E0,2.468999922E-1,2.073699951E0,9.339999408E-2
1.703709451E0,6.807999611E-1,2.433500051E0,-1.515000015E-1
1.723561014E0,1.588799953E0,1.005100012E0,-4.069999978E-2
1.743414139E0,2.009799957E0,6.147999763E-1,1.622999907E-1
1.763265701E0,2.127099991E0,1.490999937E0,1.329999976E-2
1.783118826E0,2.239899874E0,2.170699835E0,2.213999927E-1
1.802970389E0,3.478299856E0,2.562599897E0,-6.506999731E-1
1.822823514E0,1.570199966E0,4.050199986E0,1.211599946E0
1.842676639E0,8.154000044E-1,2.569299936E0,9.375999570E-1
1.862528201E0,-9.943999648E-1,1.991499901E0,5.515999794E-1
1.882381326E0,-3.601499796E0,1.623199940E0,1.380499959E0
1.902234451E0,-3.749599934E0,5.773000121E-1,1.129699945E0
1.922087576E0,-3.869499922E0,5.850999951E-1,1.182399988E0
1.941939139E0,-5.952699661E0,-1.567899942E0,1.722599983E0
1.961792264E0,-5.243299961E0,-9.112299919E0,-1.766099930E0
1.981645389E0,-1.169499993E0,-7.806900024E0,-1.017179966E1
2.001496951E0,4.400899887E0,-1.554099917E0,-7.589999586E-2
2.021350076E0,8.972899437E0,-9.275999665E-1,4.074299812E0
2.041203201E0,6.825199604E0,1.260999918E0,-9.937999845E-1
2.061056326E0,2.916599989E0,2.273999929E0,-2.737200022E0
2.080907889E0,2.225999981E-1,-2.373499870E0,-5.288399696E0
2.100761014E0,-2.574300051E0,-6.025699615E0,-5.356599808E0
2.120614139E0,-4.950699806E0,-7.142799854E0,1.816999912E-1
2.140465701E0,-8.501999855E0,-9.365699768E0,5.300199986E0
2.160318826E0,-4.524699688E0,-8.579699516E0,4.207999706E0
2.180171951E0,2.456199884E0,-7.848199844E0,1.852399945E0
2.200025076E0,4.534399986E0,-4.055799961E0,1.902599931E0
2.219876639E0,5.012399673E0,-2.569999993E-1,1.532999992E0
2.239729764E0,2.699599981E0,2.482800007E0,-7.727999687E-1
2.259582889E0,7.537999749E-1,3.018599987E0,-1.447299957E0
2.279434451E0,-8.065999746E-1,2.458600044E0,-1.267499924E0
2.299287576E0,-1.785299897E0,1.497299910E0,-4.711000025E-1
2.319140701E0,-2.057800055E0,9.294999838E-1,3.282999992E-1
2.338992264E0,-1.828699946E0,7.006999850E-1,-2.328999937E-1
2.358845389E0,-1.520299911E0,8.337000012E-1,-5.685999990E-1
2.378698514E0,-7.217999697E-1,4.509999752E-1,-2.759999931E-1
2.398551639E0,2.795999944E-1,3.094999790E-1,-4.727999866E-1
2.418409451E0,6.570999622E-1,2.529000044E-1,-4.836999774E-1
2.438256326E0,7.658999562E-1,7.769999653E-2,-2.561999857E-1
2.458107889E0,8.026999831E-1,-1.329999976E-2,-3.700000001E-3
2.477961014E0,9.825999737E-1,2.639999986E-2,3.630999923E-1
2.497814139E0,9.948999882E-1,1.363999993E-1,8.546999693E-1
2.517667264E0,5.965999961E-1,3.409999907E-1,1.416199923E0
2.537518826E0,3.039000034E-1,1.057999954E-1,1.548399925E0
2.557371951E0,1.316999942E-1,-4.396999776E-1,1.613999963E0
2.577225076E0,-4.197999835E-1,-1.665799975E0,9.654999971E-1
2.597076639E0,-1.567600012E0,-4.850500107E0,-5.938999653E-1
2.616929764E0,-3.439499855E0,-5.773099899E0,-1.275799990E0
2.636782889E0,-3.895399809E0,-8.328800201E0,-1.685699940E0
2.656636014E0,1.855999976E-1,-5.924900055E0,-1.397300005E0
2.676487576E0,3.323499918E0,-4.081999779E0,-3.509999812E-1
2.696340701E0,3.678399801E0,-4.386600018E0,-1.411999911E-1
